cost_center_id,cost_center_name,company_id,business_unit,function,is_active
CC000001,Deals Valuation EMEA,C011,Deals,Valuation,True
CC000002,Audit Controls Americas,C007,Audit,Controls,True
CC000003,Consulting Data and Analytics APAC,C008,Consulting,Data and Analytics,True
CC000004,Internal Services IT EMEA,C014,Internal Services,IT,True
CC000005,Risk Advisory Internal Audit APAC,C004,Risk Advisory,Internal Audit,True
CC000006,Consulting Strategy EMEA,C013,Consulting,Strategy,True
CC000007,Consulting Human Capital EMEA,C018,Consulting,Human Capital,True
CC000008,Consulting Strategy Americas,C012,Consulting,Strategy,True
CC000009,Consulting Technology Consulting EMEA,C003,Consulting,Technology Consulting,True
CC000010,Audit External Audit EMEA,C031,Audit,External Audit,True
CC000011,Audit Assurance EMEA,C033,Audit,Assurance,True
CC000012,Audit External Audit APAC,C025,Audit,External Audit,True
CC000013,Audit Assurance APAC,C038,Audit,Assurance,True
CC000014,Audit Controls Americas,C037,Audit,Controls,True
CC000015,Tax Corporate Tax APAC,C038,Tax,Corporate Tax,True
CC000016,Audit External Audit Americas,C012,Audit,External Audit,True
CC000017,Internal Services HR APAC,C004,Internal Services,HR,True
CC000018,Risk Advisory Internal Audit EMEA,C040,Risk Advisory,Internal Audit,True
CC000019,Internal Services Legal EMEA,C020,Internal Services,Legal,True
CC000020,Audit External Audit Americas,C036,Audit,External Audit,True
CC000021,Audit External Audit Americas,C012,Audit,External Audit,True
CC000022,Audit Controls EMEA,C028,Audit,Controls,True
CC000023,Audit External Audit APAC,C035,Audit,External Audit,True
CC000024,Consulting Operations EMEA,C020,Consulting,Operations,True
CC000025,Consulting Data and Analytics APAC,C029,Consulting,Data and Analytics,True
CC000026,Internal Services HR EMEA,C015,Internal Services,HR,True
CC000027,Audit External Audit Americas,C002,Audit,External Audit,True
CC000028,Audit Controls APAC,C026,Audit,Controls,True
CC000029,Consulting Operations Americas,C027,Consulting,Operations,True
CC000030,Risk Advisory Cyber Risk EMEA,C013,Risk Advisory,Cyber Risk,True
CC000031,Audit External Audit APAC,C021,Audit,External Audit,True
CC000032,Risk Advisory Internal Audit Americas,C007,Risk Advisory,Internal Audit,True
CC000033,Audit External Audit Americas,C027,Audit,External Audit,True
CC000034,Deals Transaction Services Americas,C012,Deals,Transaction Services,True
CC000035,Deals M&A APAC,C029,Deals,M&A,True
CC000036,Deals M&A EMEA,C005,Deals,M&A,True
CC000037,Risk Advisory Regulatory Risk APAC,C021,Risk Advisory,Regulatory Risk,True
CC000038,Risk Advisory Internal Audit Americas,C001,Risk Advisory,Internal Audit,True
CC000039,Risk Advisory Cyber Risk APAC,C030,Risk Advisory,Cyber Risk,True
CC000040,Audit Assurance APAC,C034,Audit,Assurance,True
CC000041,Tax Corporate Tax Americas,C037,Tax,Corporate Tax,True
CC000042,Consulting Human Capital EMEA,C015,Consulting,Human Capital,True
CC000043,Consulting Data and Analytics EMEA,C013,Consulting,Data and Analytics,True
CC000044,Tax Corporate Tax EMEA,C040,Tax,Corporate Tax,True
CC000045,Consulting Operations EMEA,C020,Consulting,Operations,True
CC000046,Audit Controls APAC,C023,Audit,Controls,True
CC000047,Consulting Data and Analytics EMEA,C018,Consulting,Data and Analytics,True
CC000048,Risk Advisory Regulatory Risk APAC,C016,Risk Advisory,Regulatory Risk,True
CC000049,Internal Services Legal APAC,C034,Internal Services,Legal,True
CC000050,Tax Transfer Pricing APAC,C017,Tax,Transfer Pricing,True
CC000051,Consulting Technology Consulting Americas,C009,Consulting,Technology Consulting,True
CC000052,Risk Advisory Cyber Risk APAC,C025,Risk Advisory,Cyber Risk,True
CC000053,Consulting Technology Consulting APAC,C024,Consulting,Technology Consulting,True
CC000054,Audit Assurance EMEA,C040,Audit,Assurance,True
CC000055,Risk Advisory Internal Audit APAC,C025,Risk Advisory,Internal Audit,True
CC000056,Consulting Data and Analytics EMEA,C020,Consulting,Data and Analytics,True
CC000057,Consulting Data and Analytics APAC,C035,Consulting,Data and Analytics,True
CC000058,Deals Valuation APAC,C021,Deals,Valuation,True
CC000059,Internal Services Finance Americas,C037,Internal Services,Finance,True
CC000060,Audit Controls APAC,C008,Audit,Controls,True
CC000061,Tax Transfer Pricing APAC,C004,Tax,Transfer Pricing,True
CC000062,Tax Transfer Pricing APAC,C030,Tax,Transfer Pricing,False
CC000063,Tax Transfer Pricing Americas,C022,Tax,Transfer Pricing,True
CC000064,Internal Services Finance APAC,C021,Internal Services,Finance,True
CC000065,Consulting Operations APAC,C008,Consulting,Operations,True
