pdp_id,worker_id,performance_review_id,plan_year,plan_status,career_aspiration,development_focus_area,development_method,promotion_readiness_target,mentor_assigned_worker_id,creation_date,target_completion_date,completion_percentage,linked_overall_rating,linked_potential_rating,linked_gen_ai_readiness,gen_ai_impact_level,gen_ai_role_category
PDP00000001,W00000001,PR00000001,2026,Deferred,Senior Consultant,Industry Expertise,Coaching,Ready in 2 Years,W00001692,2026-03-06,2026-06-30,18,3,High,Medium,Low,AI User
PDP00000002,W00000002,PR00000002,2022,In Progress,Senior Consultant,Cybersecurity,Mentoring,Ready in 3+ Years,,2022-03-14,2022-06-30,56,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000003,W00000002,PR00000006,2026,In Progress,Partner,Client Relationship Management,Client Engagement,Ready in 2 Years,,2026-02-25,2026-06-30,51,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000004,W00000003,PR00000007,2022,Completed,AI Transformation Lead,Leadership,Stretch Assignment,Ready Now,,2022-03-16,2022-12-31,99,3,Exceptional,Expert,High,AI Governance
PDP00000005,W00000003,PR00000008,2023,Not Started,Manager,AI & GenAI,Certification,Ready in 3+ Years,,2023-03-08,2023-12-31,3,5,Moderate,High,High,AI Governance
PDP00000006,W00000004,PR00000011,2023,Completed,Senior Manager,Strategic Thinking,Stretch Assignment,Ready in 1 Year,W00001788,2023-03-18,2023-09-30,98,4,High,Expert,Medium,AI-Augmented Professional
PDP00000007,W00000004,PR00000012,2024,Completed,Technical Specialist,Project Management,Stretch Assignment,Ready in 1 Year,W00004024,2024-04-25,2024-09-30,100,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00000008,W00000004,PR00000013,2025,Completed,Senior Manager,Industry Expertise,Client Engagement,Ready in 2 Years,W00001825,2025-04-16,2025-06-30,94,3,Moderate,Medium,Medium,AI-Augmented Professional
PDP00000009,W00000005,PR00000015,2026,Canceled,Practice Leader,Executive Presence,Stretch Assignment,Ready in 3+ Years,W00004908,2026-03-23,2026-09-30,28,5,Low,Medium,Medium,AI-Augmented Professional
PDP00000010,W00000006,PR00000016,2022,In Progress,Manager,Communication Skills,Formal Training,Ready in 3+ Years,W00001598,2022-04-06,2022-12-31,89,1,Moderate,High,Medium,AI-Augmented Professional
PDP00000011,W00000006,PR00000017,2023,Canceled,Manager,Leadership,Mentoring,Ready in 3+ Years,,2023-04-12,2023-09-30,10,4,Moderate,Low,Medium,AI-Augmented Professional
PDP00000012,W00000007,PR00000019,2022,Completed,AI Transformation Lead,Digital Transformation,Mentoring,Ready in 3+ Years,W00003386,2022-01-25,2022-12-31,100,3,High,Medium,High,AI Product / Transformation
PDP00000013,W00000007,PR00000020,2023,Canceled,Data and Analytics Lead,Cloud Technologies,Stretch Assignment,Ready in 2 Years,,2023-04-06,2023-06-30,7,4,Low,Expert,High,AI Product / Transformation
PDP00000014,W00000007,PR00000021,2024,In Progress,AI Transformation Lead,Leadership,Stretch Assignment,Ready Now,W00002303,2024-02-07,2024-12-31,56,5,Exceptional,Expert,High,AI Product / Transformation
PDP00000015,W00000007,PR00000022,2025,In Progress,AI Transformation Lead,Cybersecurity,International Assignment,Ready in 1 Year,W00001256,2025-03-22,2025-09-30,34,3,Moderate,Expert,High,AI Product / Transformation
PDP00000016,W00000007,PR00000023,2026,Canceled,Technical Specialist,Data Analytics,Stretch Assignment,Ready in 3+ Years,W00004418,2026-04-28,2026-12-31,16,3,High,Low,High,AI Product / Transformation
PDP00000017,W00000008,PR00000024,2022,Deferred,Practice Leader,Project Management,Stretch Assignment,Ready in 2 Years,W00001089,2022-04-04,2022-06-30,8,2,Exceptional,High,High,AI Builder
PDP00000018,W00000008,PR00000025,2023,In Progress,Data and Analytics Lead,Executive Presence,Coaching,Ready in 1 Year,W00000599,2023-04-17,2023-09-30,63,3,Moderate,High,High,AI Builder
PDP00000019,W00000008,PR00000026,2024,In Progress,Practice Leader,People Management,Mentoring,Ready in 1 Year,,2024-03-20,2024-12-31,84,5,Exceptional,Medium,High,AI Builder
PDP00000020,W00000008,PR00000028,2026,Completed,Director,AI & GenAI,Mentoring,Ready in 3+ Years,W00004202,2026-03-24,2026-06-30,93,3,Moderate,High,High,AI Builder
PDP00000021,W00000009,PR00000029,2022,In Progress,Data and Analytics Lead,AI & GenAI,Stretch Assignment,Ready in 1 Year,W00003878,2022-04-28,2022-09-30,67,3,Moderate,High,High,AI Builder
PDP00000022,W00000009,PR00000030,2023,Deferred,Manager,People Management,Job Rotation,Ready in 1 Year,,2023-04-20,2023-12-31,12,5,High,Expert,High,AI Builder
PDP00000023,W00000009,PR00000031,2024,In Progress,Data and Analytics Lead,Leadership,Formal Training,Ready in 2 Years,,2024-01-23,2024-06-30,71,3,Moderate,High,High,AI Builder
PDP00000024,W00000009,PR00000033,2026,In Progress,Partner,Technical Capability,Client Engagement,Ready in 3+ Years,,2026-04-30,2026-06-30,81,2,Moderate,Expert,High,AI Builder
PDP00000025,W00000010,PR00000035,2023,In Progress,Practice Leader,Strategic Thinking,Mentoring,Ready in 2 Years,W00001580,2023-04-14,2023-06-30,55,5,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00000026,W00000010,PR00000036,2024,In Progress,Senior Manager,Leadership,Formal Training,Ready in 2 Years,W00001099,2024-03-02,2024-09-30,29,3,High,Low,Medium,AI-Augmented Professional
PDP00000027,W00000010,PR00000037,2025,In Progress,Practice Leader,Leadership,Mentoring,Ready in 2 Years,W00001531,2025-03-01,2025-12-31,43,3,Moderate,Low,Medium,AI-Augmented Professional
PDP00000028,W00000010,PR00000038,2026,In Progress,Practice Leader,Communication Skills,Mentoring,Ready in 2 Years,W00004315,2026-01-22,2026-12-31,80,2,Exceptional,Low,Medium,AI-Augmented Professional
PDP00000029,W00000012,PR00000040,2022,Deferred,Practice Leader,Cybersecurity,Client Engagement,Ready in 1 Year,W00003769,2022-03-16,2022-12-31,8,3,Moderate,High,Medium,AI-Augmented Professional
PDP00000030,W00000012,PR00000041,2023,In Progress,Manager,Leadership,Formal Training,Ready in 3+ Years,,2023-04-04,2023-09-30,77,3,Moderate,Expert,Medium,AI-Augmented Professional
PDP00000031,W00000012,PR00000042,2024,In Progress,Partner,Communication Skills,Certification,Ready in 3+ Years,W00002644,2024-01-29,2024-12-31,43,2,High,High,Medium,AI-Augmented Professional
PDP00000032,W00000012,PR00000043,2025,Canceled,Director,Project Management,Mentoring,Ready in 3+ Years,W00002441,2025-04-02,2025-06-30,19,1,Moderate,High,Medium,AI-Augmented Professional
PDP00000033,W00000012,PR00000044,2026,Completed,Practice Leader,Technical Capability,Stretch Assignment,Ready in 2 Years,W00001275,2026-04-16,2026-12-31,95,2,Moderate,High,Medium,AI-Augmented Professional
PDP00000034,W00000013,PR00000045,2022,Completed,Technical Specialist,Data Analytics,Mentoring,Ready in 1 Year,W00002335,2022-01-18,2022-12-31,97,3,Exceptional,High,High,AI Product / Transformation
PDP00000035,W00000013,PR00000046,2023,Deferred,AI Transformation Lead,Leadership,Coaching,Ready in 1 Year,,2023-02-22,2023-09-30,9,3,High,Low,High,AI Product / Transformation
PDP00000036,W00000013,PR00000047,2024,Completed,Global Mobility Assignment,Cybersecurity,Certification,Ready in 3+ Years,W00001948,2024-02-22,2024-12-31,94,3,High,High,High,AI Product / Transformation
PDP00000037,W00000013,PR00000049,2026,In Progress,AI Transformation Lead,Data Analytics,Stretch Assignment,Ready in 2 Years,,2026-03-12,2026-09-30,36,3,High,Expert,High,AI Product / Transformation
PDP00000038,W00000014,PR00000050,2023,In Progress,Manager,Leadership,Client Engagement,Ready Now,W00003992,2023-02-17,2023-06-30,89,4,Exceptional,Medium,Medium,AI-Augmented Professional
PDP00000039,W00000014,PR00000051,2024,In Progress,Manager,Client Relationship Management,Coaching,Ready in 1 Year,W00002794,2024-01-30,2024-12-31,54,4,High,High,Medium,AI-Augmented Professional
PDP00000040,W00000014,PR00000052,2025,Not Started,Partner,Strategic Thinking,Client Engagement,Ready in 1 Year,W00004517,2025-03-19,2025-09-30,7,4,High,High,Medium,AI-Augmented Professional
PDP00000041,W00000014,PR00000053,2026,Not Started,Practice Leader,Leadership,Stretch Assignment,Ready in 1 Year,W00003414,2026-04-02,2026-06-30,5,5,High,Medium,Medium,AI-Augmented Professional
PDP00000042,W00000015,PR00000054,2022,Completed,Manager,Executive Presence,Stretch Assignment,Ready in 2 Years,W00004717,2022-04-07,2022-09-30,99,3,Moderate,Low,Low,AI User
