performance_review_id,worker_id,review_year,review_cycle,review_type,overall_rating,overall_rating_label,potential_rating,promotion_readiness,gen_ai_readiness,manager_rating,self_rating,calibration_adjustment,review_status,review_completion_date
PR00000001,W00000001,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,4,4,Downward,Completed,2026-02-25
PR00000002,W00000002,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,Expert,3,4,None,Completed,2022-01-02
PR00000003,W00000002,2022,2022 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,Low,1,2,Upward,Completed,2023-01-28
PR00000004,W00000002,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 2 Years,Low,4,4,None,Completed,2024-03-06
PR00000005,W00000002,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Medium,4,4,None,Completed,2025-04-05
PR00000006,W00000002,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,Expert,3,3,None,Completed,2026-02-27
PR00000007,W00000003,2021,2021 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready Now,Expert,3,3,None,Completed,2022-03-22
PR00000008,W00000003,2022,2022 Annual Review,Annual,5,Outstanding,Moderate,Ready in 3+ Years,High,5,5,None,Completed,2023-01-18
PR00000009,W00000003,2023,2023 Annual Review,Annual,5,Outstanding,Moderate,Ready in 3+ Years,Expert,4,5,Upward,Completed,2024-01-22
PR00000010,W00000004,2021,2021 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 2 Years,Medium,3,4,Upward,Completed,2022-02-10
PR00000011,W00000004,2022,2022 Annual Review,Annual,4,Exceeds Expectations,High,Ready in 1 Year,Expert,4,4,None,Completed,2023-03-03
PR00000012,W00000004,2023,2023 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,Low,4,5,None,Completed,2024-02-16
PR00000013,W00000004,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Medium,3,4,None,Completed,2025-04-04
PR00000014,W00000004,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2026-03-18
PR00000015,W00000005,2025,2025 Annual Review,Annual,5,Outstanding,Low,Ready in 1 Year,Medium,5,5,None,Completed,2026-03-04
PR00000016,W00000006,2021,2021 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 3+ Years,High,1,2,None,Completed,2022-02-08
PR00000017,W00000006,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready Now,Low,4,5,None,Completed,2023-03-22
PR00000018,W00000006,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Manager Review Pending,
PR00000019,W00000007,2021,2021 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Medium,4,3,Downward,Completed,2022-02-09
PR00000020,W00000007,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Low,Ready in 2 Years,Expert,4,4,None,Completed,2023-03-27
PR00000021,W00000007,2023,2023 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 1 Year,Expert,5,5,None,Completed,2024-01-26
PR00000022,W00000007,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,Expert,3,4,None,Completed,2025-03-26
PR00000023,W00000007,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Low,3,4,None,Completed,2026-03-22
PR00000024,W00000008,2021,2021 Annual Review,Annual,2,Partially Meets Expectations,Exceptional,Ready in 3+ Years,High,2,2,None,Completed,2022-02-14
PR00000025,W00000008,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,High,3,3,None,Completed,2023-03-25
PR00000026,W00000008,2023,2023 Annual Review,Annual,5,Outstanding,Exceptional,Ready Now,Medium,5,5,None,Completed,2024-03-04
PR00000027,W00000008,2024,2024 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 2 Years,High,4,3,None,In Progress,
PR00000028,W00000008,2025,2025 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2026-02-07
PR00000029,W00000009,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 3+ Years,High,3,3,None,Completed,2022-03-08
PR00000030,W00000009,2022,2022 Annual Review,Annual,5,Outstanding,High,Ready Now,Expert,5,5,None,Completed,2023-03-25
PR00000031,W00000009,2023,2023 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,High,3,3,None,Completed,2024-04-18
PR00000032,W00000009,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,2,4,Upward,Completed,2025-03-04
PR00000033,W00000009,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 2 Years,Expert,2,2,None,Completed,2026-03-06
PR00000034,W00000010,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,High,3,3,None,Manager Review Pending,
PR00000035,W00000010,2022,2022 Annual Review,Annual,5,Outstanding,Exceptional,Ready in 1 Year,Medium,4,5,Upward,Completed,2023-03-25
PR00000036,W00000010,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,4,3,Downward,Completed,2024-03-20
PR00000037,W00000010,2024,2024 Annual Review,Annual,3,Meets Expectations,Moderate,Ready Now,Low,4,3,Downward,Completed,2025-02-03
PR00000038,W00000010,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Exceptional,Ready in 2 Years,Low,1,2,Upward,Completed,2026-03-21
PR00000039,W00000011,2025,2025 Annual Review,Annual,4,Exceeds Expectations,Moderate,Ready in 1 Year,Medium,4,5,None,Canceled,
PR00000040,W00000012,2021,2021 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 2 Years,High,3,3,None,Completed,2022-02-23
PR00000041,W00000012,2022,2022 Annual Review,Annual,3,Meets Expectations,Moderate,Ready in 1 Year,Expert,3,3,None,Completed,2023-02-07
PR00000042,W00000012,2023,2023 Annual Review,Annual,2,Partially Meets Expectations,High,Ready in 3+ Years,High,3,2,Downward,Completed,2024-02-27
PR00000043,W00000012,2024,2024 Annual Review,Annual,1,Needs Improvement,Moderate,Ready in 3+ Years,High,1,2,None,Completed,2025-03-25
PR00000044,W00000012,2025,2025 Annual Review,Annual,2,Partially Meets Expectations,Moderate,Ready in 3+ Years,High,2,3,None,Completed,2026-02-17
PR00000045,W00000013,2021,2021 Annual Review,Annual,3,Meets Expectations,Exceptional,Ready in 2 Years,High,3,3,None,Completed,2022-04-22
PR00000046,W00000013,2022,2022 Annual Review,Annual,3,Meets Expectations,High,Ready in 1 Year,Low,4,2,Downward,Completed,2023-02-12
PR00000047,W00000013,2023,2023 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,High,4,3,Downward,Completed,2024-02-07
PR00000048,W00000013,2024,2024 Annual Review,Annual,3,Meets Expectations,Low,Ready in 3+ Years,High,2,3,Upward,Completed,2025-03-18
PR00000049,W00000013,2025,2025 Annual Review,Annual,3,Meets Expectations,High,Ready in 2 Years,Expert,3,4,None,Completed,2026-03-02
PR00000050,W00000014,2022,2022 Annual Review,Annual,4,Exceeds Expectations,Exceptional,Ready in 1 Year,Medium,4,4,None,Completed,2023-02-17
PR00000051,W00000014,2023,2023 Annual Review,Annual,4,Exceeds Expectations,High,Ready Now,High,5,4,Downward,Completed,2024-04-19
