critical_role_id,position_id,worker_id,position_title,job_profile_id,supervisory_org_id,cost_center_id,criticality_level,business_impact,succession_required_flag,risk_if_vacant,target_successor_count,review_cycle
CR00000001,P00001218,W00001218,Consultant - Data and Analytics,JP000578,SO000077,CC001299,Medium,Process Stability,True,High,1,Annual Talent Review
CR00000002,P00000454,W00000454,Analyst - Marketing,JP000305,SO000657,CC001317,High,Leadership Continuity,True,High,3,Mid-Year Talent Review
CR00000003,P00003919,W00003919,Manager - Finance,JP000397,SO002455,CC002009,Strategic,Enterprise Transformation,True,Severe,2,Annual Talent Review
CR00000004,P00002698,W00002698,Senior Consultant - Audit Assurance,JP000408,SO001970,CC000048,Medium,Regional Coverage,True,Moderate,3,Annual Talent Review
CR00000005,P00000960,W00000960,Analyst - Data and Analytics,JP000114,SO002227,CC001723,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000006,P00001981,W00001981,Consultant - Strategy Consulting,JP000480,SO002125,CC000276,Strategic,Revenue Continuity,True,Moderate,1,Annual Talent Review
CR00000007,P00002919,W00002919,Director - Audit Assurance,JP000573,SO001920,CC000246,Medium,Process Stability,True,Severe,2,Annual Talent Review
CR00000008,P00003571,W00003571,Intern - Audit Assurance,JP000562,SO001189,CC000832,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000009,P00004069,W00004069,Analyst - Data and Analytics,JP000473,SO000389,CC001679,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000010,P00002410,W00002410,Senior Manager - Marketing,JP000016,SO002079,CC002299,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000011,P00003873,W00003873,Analyst - Strategy Consulting,JP000550,SO002376,CC000841,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000012,P00003067,W00003067,Consultant - Audit Assurance,JP000266,SO000320,CC001678,Strategic,Regulatory / Compliance Risk,True,High,1,Annual Talent Review
CR00000013,P00001344,W00001344,Analyst - Human Resources,JP000501,SO000308,CC002455,Medium,Process Stability,True,High,2,Annual Talent Review
CR00000014,P00000468,W00000468,Analyst - Legal,JP000398,SO001302,CC002019,Strategic,Enterprise Transformation,True,High,3,Annual Talent Review
CR00000015,P00000026,W00000026,Senior Consultant - Human Capital,JP000479,SO000320,CC001678,High,Operational Resilience,True,High,3,Mid-Year Talent Review
CR00000016,P00004148,W00004148,Director - Technology Consulting,JP000599,SO002116,CC000999,High,Client Delivery Continuity,True,Severe,1,Mid-Year Talent Review
CR00000017,P00002208,W00002208,Director - Corporate Tax,JP000079,SO000851,CC000301,Medium,Specialized Knowledge Retention,True,High,2,Annual Talent Review
CR00000018,P00001722,W00001722,Analyst - Audit Assurance,JP000539,SO002095,CC002308,High,Client Delivery Continuity,True,High,2,Annual Talent Review
CR00000019,P00001891,W00001891,Analyst - Legal,JP000216,SO001060,CC001559,Strategic,Enterprise Transformation,True,Moderate,3,Annual Talent Review
CR00000020,P00003126,W00003126,Director - Legal,JP000488,SO000795,CC000717,Medium,Regional Coverage,True,High,1,Annual Talent Review
CR00000021,P00000886,W00000886,Director - Information Technology,JP000413,SO000295,CC001269,Medium,Process Stability,True,High,3,Annual Talent Review
CR00000022,P00003172,W00003172,Manager - Legal,JP000148,SO001367,CC000798,High,Operational Resilience,True,High,3,Annual Talent Review
CR00000023,P00000215,W00000215,Senior Manager - Strategy Consulting,JP000133,SO001843,CC002424,Strategic,Regulatory / Compliance Risk,True,Moderate,1,Annual Talent Review
CR00000024,P00001228,W00001228,Consultant - Human Resources,JP000211,SO000563,CC000519,Strategic,Revenue Continuity,True,Severe,1,Annual Talent Review
CR00000025,P00000259,W00000259,Consultant - Marketing,JP000012,SO000458,CC000936,Medium,Specialized Knowledge Retention,True,High,3,Annual Talent Review
CR00000026,P00001757,W00001757,Consultant - Human Resources,JP000211,SO001871,CC002162,High,Client Delivery Continuity,True,High,1,Annual Talent Review
CR00000027,P00003349,W00003349,Consultant - Human Resources,JP000530,SO002092,CC000839,Medium,Specialized Knowledge Retention,True,Moderate,2,Mid-Year Talent Review
CR00000028,P00000158,W00000158,Senior Consultant - Cyber Risk,JP000164,SO000600,CC000309,High,Client Delivery Continuity,True,Severe,3,Mid-Year Talent Review
CR00000029,P00004995,W00004995,Senior Consultant - Human Resources,JP000112,SO001285,CC000454,High,Leadership Continuity,True,Moderate,2,Annual Talent Review
