offer_id,application_id,candidate_id,job_requisition_id,offer_date,offer_status,response_date,expected_start_date,decline_reason,offered_currency,offered_base_pay_amount,offered_base_pay_frequency,sign_on_bonus_amount,bonus_target_percentage,compensation_grade_id,market_position_ratio,salary_band_min,salary_band_mid,salary_band_max,gen_ai_skill_match,gen_ai_premium_applied,gen_ai_premium_amount,avg_interview_score,avg_gen_ai_assessment_score,final_recommendation,completed_interview_count
OFF000000001,APP000000002,CAN00004580,JR00000139,2024-03-09,Accepted,2024-03-11,2024-05-12,,USD,34200,Annual,0,0.0,CG001657,1.068,24000,32000,39000,Low,False,0,65.0,55.0,Neutral,0
OFF000000002,APP000000006,CAN00019496,JR00000463,2021-12-22,Accepted,2021-12-25,2022-03-09,,INR,42500,Annual,0,0.08,CG000625,1.119,27000,38000,50000,Medium,False,0,89.0,73.0,Hire,2
OFF000000003,APP000000007,CAN00014097,JR00002023,2023-06-05,Declined,2023-06-14,,Accepted Another Offer,AED,165000,Annual,0,0.12,CG001409,1.177,86000,130000,180000,High,True,12200,91.33,79.33,Strong Hire,3
OFF000000004,APP000000013,CAN00020983,JR00000267,2023-05-15,Accepted,2023-05-24,2023-08-12,,INR,125000,Annual,10000,0.25,CG000556,1.087,63000,115000,165000,Medium,False,0,65.0,55.0,Neutral,0
OFF000000005,APP000000014,CAN00012182,JR00000965,2024-08-22,Accepted,2024-09-04,2024-10-06,,MXN,36000,Annual,0,0.05,CG000894,1.059,24000,34000,44000,,False,0,66.33,48.67,Neutral,3
OFF000000006,APP000000026,CAN00016454,JR00001281,2026-01-29,Accepted,2026-02-01,2026-02-18,,MXN,147000,Annual,15000,0.25,CG000880,1.09,73000,135000,195000,Low,False,0,73.67,48.0,Neutral,3
OFF000000007,APP000000028,CAN00015305,JR00001955,2024-10-25,Accepted,2024-11-05,2024-12-19,,EUR,59500,Annual,0,0.03,CG001001,1.025,43000,58000,72000,Low,False,0,64.33,61.67,Do Not Hire,3
OFF000000008,APP000000031,CAN00014739,JR00000252,2022-03-08,Accepted,2022-03-25,2022-06-01,,JPY,663000,Annual,100000,0.4,CG000773,1.133,235000,585000,935000,Medium,False,0,92.5,73.5,Strong Hire,2
OFF000000009,APP000000032,CAN00015404,JR00002269,2024-06-10,Accepted,2024-06-29,2024-08-19,,USD,384000,Annual,15000,0.25,CG001753,1.083,195000,355000,520000,Medium,False,0,75.0,65.0,Hire,2
OFF000000010,APP000000038,CAN00015615,JR00001164,2026-02-01,Accepted,2026-02-20,2026-02-17,,INR,281000,Annual,25000,0.4,CG000620,1.148,99000,245000,395000,Low,False,0,99.33,63.0,Strong Hire,3
