worker_compensation_id,worker_id,effective_date,pay_currency,base_pay_amount,base_pay_frequency,bonus_target_percentage,compensation_grade_id,compensation_plan_id,market_position_ratio,compa_ratio,salary_band_min,salary_band_mid,salary_band_max,gen_ai_impact_level,gen_ai_skill_premium,gen_ai_premium_applied,gen_ai_premium_amount,gen_ai_role_category
WC00000001,W00000001,2025-08-03,USD,70400.0,Annual,0.03,CG001694,CP001,1.05,1.05,50000,67000,84000,Low,0.03,False,0,AI User
WC00000002,W00000002,2024-01-01,INR,40300.0,Annual,0.08,CG000625,CP001,1.009,1.059,27000,38000,50000,Medium,0.05,True,1900,AI-Augmented Professional
WC00000003,W00000003,2021-09-07,AUD,34.97,Hourly,0.0,CG000057,CP003,0.898,0.898,56000,81000,105000,High,0.08,False,0,AI Governance
WC00000004,W00000004,2022-07-01,USD,40.45,Hourly,0.0,CG001650,CP002,0.895,0.895,66000,94000,125000,Medium,0.05,False,0,AI-Augmented Professional
WC00000005,W00000005,2025-04-22,MXN,21400.0,Annual,0.03,CG000839,CP001,0.823,0.823,19000,26000,32000,Medium,0.05,False,0,AI-Augmented Professional
WC00000006,W00000006,2022-07-01,INR,21.58,Hourly,0.0,CG000670,CP002,1.122,1.122,28000,40000,52000,Medium,0.05,False,0,AI-Augmented Professional
WC00000007,W00000007,2025-01-01,EUR,117000.0,Annual,0.08,CG000427,CP001,0.975,0.975,82000,120000,155000,High,0.08,False,0,AI Product / Transformation
WC00000008,W00000008,2021-08-24,AUD,56600.0,Annual,0.03,CG000092,CP001,0.975,0.975,44000,58000,73000,High,0.08,False,0,AI Builder
WC00000009,W00000009,2022-07-01,EUR,425000.0,Annual,0.4,CG001313,CP001,0.85,0.85,200000,500000,805000,High,0.08,False,0,AI Builder
WC00000010,W00000010,2021-01-01,EUR,116000.0,Annual,0.08,CG000490,CP001,1.162,1.162,70000,100000,130000,Medium,0.05,False,0,AI-Augmented Professional
WC00000011,W00000011,2025-03-18,USD,59200.0,Annual,0.03,CG001730,CP001,0.91,0.91,49000,65000,81000,Medium,0.05,False,0,AI-Augmented Professional
WC00000012,W00000012,2021-01-02,USD,75.09,Hourly,0.0,CG001634,CP002,0.85,0.892,115000,175000,235000,Medium,0.05,True,7400,AI-Augmented Professional
WC00000013,W00000013,2023-07-01,INR,33500.0,Annual,0.05,CG000561,CP001,0.911,0.984,24000,34000,44000,High,0.08,True,2500,AI Product / Transformation
WC00000014,W00000014,2022-01-07,USD,115000.0,Annual,0.08,CG001705,CP001,0.955,0.955,84000,120000,155000,Medium,0.05,False,0,AI-Augmented Professional
WC00000015,W00000015,2022-07-01,MXN,84500.0,Annual,0.12,CG000878,CP001,1.3,1.3,42000,65000,87000,Low,0.03,False,0,AI User
WC00000016,W00000016,2022-07-01,EUR,40600.0,Annual,0.03,CG001253,CP001,0.966,0.966,32000,42000,53000,Medium,0.05,False,0,AI-Augmented Professional
WC00000017,W00000017,2021-01-01,AUD,70000.0,Annual,0.05,CG000084,CP001,0.933,0.933,52000,75000,97000,Medium,0.05,False,0,AI-Augmented Professional
WC00000018,W00000018,2021-03-08,INR,28900.0,Annual,0.05,CG000561,CP001,0.851,0.851,24000,34000,44000,High,0.08,False,0,AI Product / Transformation
