dq_issue_id,issue_date,severity,domain,table_name,issue_type,source_validation_id,affected_record_count,business_impact,status,owner_team,remediation_due_date
DQI00000001,2025-01-11,Medium,Payroll,payslip_lines,Payroll Variance,,100,May require operational cleanup or local HR review,Resolved,Payroll Operations,2026-01-19
DQI00000002,2025-05-27,Medium,Compensation,worker_compensation,Invalid Compa Ratio,,200,May require operational cleanup or local HR review,Open,Compensation COE,2025-06-23
DQI00000003,2025-04-04,High,Recruiting,applications,Offer Without Interview,,202,"May impact management reporting, employee experience, or compliance controls",Open,Talent Acquisition,2025-05-19
DQI00000004,2025-01-28,Critical,Compensation,worker_compensation,Missing Bonus Target,,77,"May block downstream payroll, reporting, audit, or regulatory processes",Open,Compensation COE,2025-10-25
DQI00000005,2025-10-15,High,Recruiting,applications,Offer Without Interview,,237,"May impact management reporting, employee experience, or compliance controls",In Remediation,Talent Acquisition,2025-05-14
DQI00000006,2025-11-01,Low,Recruiting,job_requisitions,Application Without Requisition,,181,Minor data hygiene issue with limited business impact,Accepted Risk,Talent Acquisition,2025-11-25
DQI00000007,2025-07-28,High,Talent,performance_reviews,Missing Talent Review,,212,"May impact management reporting, employee experience, or compliance controls",Open,Talent Management,2025-10-19
DQI00000008,2025-04-16,High,Talent,learning_enrollments,Missing Talent Review,,169,"May impact management reporting, employee experience, or compliance controls",Open,Talent Management,2025-10-07
DQI00000009,2025-12-18,Medium,Absence,absence_requests,Invalid Absence Date Range,,186,May require operational cleanup or local HR review,Resolved,Time and Absence,2025-11-11
DQI00000010,2025-05-14,Medium,Recruiting,offers,Candidate Consent Missing,,32,May require operational cleanup or local HR review,Resolved,Talent Acquisition,2026-01-14
DQI00000011,2025-02-20,Low,Absence,absence_requests,Pending Approval Aging,,7,Minor data hygiene issue with limited business impact,Resolved,Time and Absence,2025-12-30
DQI00000012,2025-01-27,Low,Recruiting,offers,Application Without Requisition,,72,Minor data hygiene issue with limited business impact,Resolved,Talent Acquisition,2025-09-09
DQI00000013,2025-05-10,Medium,Recruiting,offers,Application Without Requisition,,4,May require operational cleanup or local HR review,Resolved,Talent Acquisition,2025-11-18
DQI00000014,2025-10-26,Medium,Talent,performance_reviews,Missing Performance Review,,173,May require operational cleanup or local HR review,Accepted Risk,Talent Management,2025-06-07
DQI00000015,2025-02-26,Medium,Recruiting,applications,Candidate Consent Missing,,205,May require operational cleanup or local HR review,Resolved,Talent Acquisition,2025-02-28
DQI00000016,2025-08-26,Low,Benefits,benefit_enrollments,Invalid Benefit Enrollment,,62,Minor data hygiene issue with limited business impact,Open,Benefits Administration,2025-11-12
