compensation_grade_id,global_grade,career_level,job_family,market_reference_zone,salary_band_min,salary_band_mid,salary_band_max,bonus_target,currency,country,geo_differential,gen_ai_impact_level,gen_ai_skill_premium,gen_ai_role_category
CG000001,G01,Intern,Audit Assurance,Oceania Premium,20000,26000,33000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000002,G02,Analyst,Audit Assurance,Oceania Premium,42000,57000,71000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000003,G03,Consultant,Audit Assurance,Oceania Premium,55000,78000,100000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000004,G04,Senior Consultant,Audit Assurance,Oceania Premium,73000,105000,135000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000005,G05,Manager,Audit Assurance,Oceania Premium,93000,145000,195000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000006,G06,Senior Manager,Audit Assurance,Oceania Premium,130000,200000,270000,0.18,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000007,G07,Director,Audit Assurance,Oceania Premium,165000,295000,430000,0.25,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000008,G08,Partner,Audit Assurance,Oceania Premium,260000,655000,1045000,0.4,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000009,G09,Executive,Audit Assurance,Oceania Premium,420000,1045000,1675000,0.5,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000010,G01,Intern,Corporate Tax,Oceania Premium,20000,26000,33000,0.0,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000011,G02,Analyst,Corporate Tax,Oceania Premium,42000,57000,71000,0.03,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000012,G03,Consultant,Corporate Tax,Oceania Premium,55000,78000,100000,0.05,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000013,G04,Senior Consultant,Corporate Tax,Oceania Premium,73000,105000,135000,0.08,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
CG000014,G05,Manager,Corporate Tax,Oceania Premium,93000,145000,195000,0.12,AUD,Australia,0.83,Medium,0.05,AI-Augmented Professional
