position_id,worker_id,position_title,job_profile_id,supervisory_org_id,cost_center_id,position_status,effective_start_date,effective_end_date
P00000001,W00000001,Analyst - Finance,JP000144,SO001974,CC000343,Filled,2025-08-03,
P00000002,W00000002,Senior Consultant - Human Resources,JP000187,SO001443,CC002165,Filled,2020-05-01,
P00000003,W00000003,Consultant - Regulatory Risk,JP000081,SO000932,CC000774,Closed,2021-09-07,2023-10-06
P00000004,W00000004,Consultant - Strategy Consulting,JP000082,SO001971,CC001845,Filled,2020-03-09,
P00000005,W00000005,Analyst - Strategy Consulting,JP000063,SO000669,CC000796,Filled,2025-04-22,
P00000006,W00000006,Senior Consultant - Operations,JP000500,SO002197,CC001314,Closed,2020-06-25,2023-09-27
P00000007,W00000007,Senior Consultant - Technology Consulting,JP000577,SO000481,CC001721,Filled,2013-07-17,
P00000008,W00000008,Analyst - Information Technology,JP000510,SO001672,CC000401,Filled,2021-08-24,
P00000009,W00000009,Partner - Information Technology,JP000563,SO000294,CC001716,Filled,2020-07-28,
P00000010,W00000010,Senior Consultant - Human Resources,JP000013,SO001497,CC002169,Filled,2020-12-08,
P00000011,W00000011,Analyst - Marketing,JP000243,SO000817,CC000915,Filled,2025-03-18,
P00000012,W00000012,Manager - Corporate Tax,JP000098,SO001107,CC002121,Filled,2021-01-02,
P00000013,W00000013,Consultant - Technology Consulting,JP000213,SO001803,CC000397,Filled,2004-08-04,
P00000014,W00000014,Senior Consultant - Human Resources,JP000187,SO000692,CC001209,Filled,2022-01-07,
P00000015,W00000015,Manager - Mergers and Acquisitions,JP000208,SO000218,CC001629,Filled,2000-05-21,
P00000016,W00000016,Analyst - Human Capital,JP000290,SO001921,CC001239,Filled,2018-03-01,
P00000017,W00000017,Consultant - Human Resources,JP000236,SO001472,CC000401,Filled,2020-08-26,
P00000018,W00000018,Consultant - Technology Consulting,JP000222,SO002227,CC001723,Filled,2021-03-08,
P00000019,W00000019,Senior Consultant - Audit Assurance,JP000003,SO001195,CC001993,Filled,2006-11-11,
P00000020,W00000020,Senior Consultant - Technology Consulting,JP000523,SO002413,CC001770,Filled,2025-05-01,
P00000021,W00000021,Analyst - Operations,JP000555,SO000279,CC001980,Filled,2015-09-06,
P00000022,W00000022,Consultant - Human Resources,JP000236,SO000402,CC002044,Filled,2009-04-17,
P00000023,W00000023,Senior Consultant - Human Resources,JP000344,SO000038,CC000830,Filled,2022-10-04,
P00000024,W00000024,Manager - Mergers and Acquisitions,JP000208,SO000970,CC001516,Filled,2022-10-16,
P00000025,W00000025,Senior Consultant - Mergers and Acquisitions,JP000375,SO002006,CC001044,Filled,2023-07-08,
P00000026,W00000026,Senior Consultant - Human Capital,JP000479,SO000320,CC001678,Filled,2024-12-22,
P00000027,W00000027,Partner - Data and Analytics,JP000270,SO001596,CC001995,Filled,2022-08-20,
P00000028,W00000028,Analyst - Data and Analytics,JP000366,SO001899,CC000193,Filled,2021-11-12,
P00000029,W00000029,Analyst - Finance,JP000062,SO000650,CC002179,Filled,2007-03-08,
P00000030,W00000030,Manager - Marketing,JP000482,SO001731,CC000917,Filled,2021-03-30,
P00000031,W00000031,Consultant - Cyber Risk,JP000277,SO000156,CC000722,Filled,2021-05-29,
P00000032,W00000032,Senior Consultant - Information Technology,JP000417,SO001846,CC002341,Filled,2025-05-05,
P00000033,W00000033,Consultant - Human Resources,JP000151,SO001777,CC002281,Filled,2021-07-22,
P00000034,W00000034,Senior Consultant - Data and Analytics,JP000262,SO000745,CC001772,Closed,2022-08-31,2025-01-19
P00000035,W00000035,Consultant - Regulatory Risk,JP000038,SO001753,CC001578,Filled,2024-02-13,
P00000036,W00000036,Manager - Marketing,JP000477,SO000440,CC001080,Filled,2021-03-14,
P00000037,W00000037,Consultant - Mergers and Acquisitions,JP000202,SO002004,CC002177,Filled,2001-12-28,
P00000038,W00000038,Consultant - Mergers and Acquisitions,JP000105,SO001276,CC000970,Filled,2024-09-10,
P00000039,W00000039,Senior Manager - Mergers and Acquisitions,JP000561,SO000371,CC001757,Filled,2019-08-19,
P00000040,W00000040,Consultant - Strategy Consulting,JP000057,SO000764,CC002326,Filled,1998-02-04,
P00000041,W00000041,Senior Consultant - Data and Analytics,JP000019,SO001522,CC001556,Filled,2025-11-18,
P00000042,W00000042,Analyst - Information Technology,JP000506,SO000088,CC000556,Filled,2017-04-24,
P00000043,W00000043,Senior Consultant - Regulatory Risk,JP000590,SO000018,CC002107,Filled,2020-12-03,
P00000044,W00000044,Senior Consultant - Human Resources,JP000112,SO001342,CC001056,Filled,2023-05-10,
P00000045,W00000045,Analyst - Marketing,JP000553,SO002390,CC001703,Filled,2016-12-29,
P00000046,W00000046,Senior Consultant - Human Resources,JP000291,SO000439,CC002258,Filled,2020-06-30,
P00000047,W00000047,Analyst - Information Technology,JP000166,SO001608,CC001465,Filled,2005-06-23,
P00000048,W00000048,Senior Consultant - Cyber Risk,JP000176,SO002333,CC000959,Filled,2021-07-10,
P00000049,W00000049,Analyst - Mergers and Acquisitions,JP000135,SO000455,CC000899,Filled,2024-11-17,
P00000050,W00000050,Analyst - Information Technology,JP000600,SO001412,CC000578,Filled,2025-08-09,
P00000051,W00000051,Manager - Mergers and Acquisitions,JP000251,SO001520,CC001319,Filled,2018-02-03,
P00000052,W00000052,Senior Consultant - Operations,JP000205,SO002178,CC000567,Filled,2020-10-18,
P00000053,W00000053,Senior Consultant - Data and Analytics,JP000349,SO001923,CC002209,Closed,2021-02-23,2024-10-23
P00000054,W00000054,Senior Consultant - Human Resources,JP000225,SO001122,CC000558,Filled,2017-10-19,
P00000055,W00000055,Senior Consultant - Audit Assurance,JP000003,SO001987,CC001064,Closed,2020-10-31,2025-10-13
P00000056,W00000056,Consultant - Data and Analytics,JP000154,SO001395,CC001312,Filled,2016-01-13,
P00000057,W00000057,Consultant - Finance,JP000385,SO001864,CC000169,Filled,2022-04-07,
P00000058,W00000058,Senior Manager - Legal,JP000329,SO001893,CC000315,Filled,2024-10-14,
P00000059,W00000059,Senior Consultant - Regulatory Risk,JP000507,SO000205,CC001247,Filled,2025-10-01,
P00000060,W00000060,Analyst - Human Resources,JP000365,SO001659,CC002178,Filled,2021-06-10,
P00000061,W00000061,Analyst - Human Resources,JP000107,SO000003,CC001128,Filled,2024-06-11,
P00000062,W00000062,Consultant - Regulatory Risk,JP000215,SO002368,CC001455,Filled,2022-10-08,
P00000063,W00000063,Manager - Operations,JP000085,SO000948,CC002109,Filled,2020-05-06,
P00000064,W00000064,Senior Consultant - Corporate Tax,JP000472,SO002382,CC000547,Filled,2023-03-25,
P00000065,W00000065,Analyst - Mergers and Acquisitions,JP000301,SO001960,CC001043,Filled,2004-06-29,
P00000066,W00000066,Manager - Cyber Risk,JP000045,SO000093,CC001279,Filled,2020-10-07,
P00000067,W00000067,Senior Consultant - Strategy Consulting,JP000223,SO000617,CC002358,Filled,2006-12-24,
P00000068,W00000068,Analyst - Mergers and Acquisitions,JP000259,SO001684,CC000922,Filled,2004-10-06,
P00000069,W00000069,Senior Consultant - Strategy Consulting,JP000497,SO000226,CC000696,Filled,2020-05-07,
P00000070,W00000070,Senior Consultant - Technology Consulting,JP000575,SO002450,CC000851,Filled,2000-03-19,
P00000071,W00000071,Analyst - Marketing,JP000551,SO000288,CC002209,Filled,2021-10-10,
P00000072,W00000072,Analyst - Information Technology,JP000367,SO001388,CC002276,Filled,2023-02-14,
P00000073,W00000073,Analyst - Audit Assurance,JP000588,SO001882,CC002364,Filled,2025-08-27,
P00000074,W00000074,Senior Consultant - Mergers and Acquisitions,JP000090,SO000681,CC000119,Filled,2022-08-19,
P00000075,W00000075,Analyst - Information Technology,JP000506,SO000904,CC001576,Filled,2022-10-27,
P00000076,W00000076,Analyst - Legal,JP000398,SO000272,CC000099,Filled,2011-11-13,
P00000077,W00000077,Analyst - Human Capital,JP000393,SO002340,CC001398,Filled,2024-07-24,
P00000078,W00000078,Analyst - Human Capital,JP000156,SO000897,CC000322,Filled,2022-02-15,
P00000079,W00000079,Director - Corporate Tax,JP000503,SO000485,CC000789,Filled,2011-08-15,
P00000080,W00000080,Analyst - Regulatory Risk,JP000116,SO002045,CC000713,Filled,2023-02-22,
P00000081,W00000081,Senior Consultant - Regulatory Risk,JP000060,SO000441,CC001540,Filled,2004-05-03,
P00000082,W00000082,Analyst - Information Technology,JP000528,SO000496,CC000482,Filled,2012-01-22,
P00000083,W00000083,Senior Consultant - Human Resources,JP000225,SO001531,CC000248,Filled,2024-05-30,
P00000084,W00000084,Consultant - Cyber Risk,JP000277,SO000420,CC002446,Filled,2020-04-10,
P00000085,W00000085,Analyst - Operations,JP000257,SO000760,CC001072,Filled,2024-10-08,
P00000086,W00000086,Senior Consultant - Regulatory Risk,JP000507,SO000242,CC002443,Filled,2023-10-19,
P00000087,W00000087,Senior Consultant - Operations,JP000341,SO000259,CC001196,Filled,2021-12-25,
P00000088,W00000088,Senior Manager - Marketing,JP000016,SO001455,CC002478,Filled,1998-02-13,
P00000089,W00000089,Analyst - Human Capital,JP000290,SO002333,CC000959,Filled,2024-12-05,
P00000090,W00000090,Senior Consultant - Operations,JP000518,SO002028,CC001809,Filled,2018-06-08,
P00000091,W00000091,Senior Consultant - Data and Analytics,JP000015,SO002192,CC001946,Filled,2023-07-20,
P00000092,W00000092,Senior Manager - Finance,JP000401,SO000091,CC001387,Filled,2025-04-16,
P00000093,W00000093,Senior Manager - Finance,JP000594,SO000060,CC000445,Filled,2012-04-07,
P00000094,W00000094,Manager - Operations,JP000042,SO000659,CC000168,Filled,2023-02-26,
P00000095,W00000095,Consultant - Finance,JP000265,SO001239,CC001918,Filled,2014-11-15,
