succession_candidate_id,pool_id,worker_id,readiness,risk_of_loss,potential_rating,performance_rating,succession_rank,development_need,mobility_preference,last_reviewed_date,active_candidate_flag
SC00000001,SP000002,W00000398,Ready < 1 Year,Medium,High,High,5,Strategic Thinking,Regional,2025-12-01,True
SC00000002,SP000002,W00004076,Ready < 1 Year,Medium,High,High,5,Strategic Thinking,Local,2025-12-07,True
SC00000003,SP000005,W00003324,Ready < 1 Year,Medium,High,Exceptional,1,Global Mobility,Regional,2026-03-21,True
SC00000004,SP000005,W00003361,Ready < 1 Year,High,High,High,1,GenAI Fluency,Local,2026-03-02,True
SC00000005,SP000007,W00003361,Ready < 1 Year,High,High,High,4,Financial Acumen,Regional,2025-10-21,True
SC00000006,SP000001,W00001715,Ready < 1 Year,Medium,High,High,5,Global Mobility,Remote-first,2026-03-18,True
SC00000007,SP000006,W00003174,Ready < 1 Year,Low,High,Solid,3,GenAI Fluency,Regional,2026-02-27,True
SC00000008,SP000006,W00001493,Ready < 1 Year,Medium,Exceptional,Solid,1,People Leadership,Local,2026-02-28,True
SC00000009,SP000002,W00001502,Ready Now,Medium,High,Solid,1,Executive Presence,Regional,2026-01-05,True
SC00000010,SP000003,W00001504,Ready < 1 Year,High,Exceptional,Exceptional,3,Strategic Thinking,Local,2025-10-18,True
SC00000011,SP000002,W00001570,Ready < 1 Year,Medium,Exceptional,High,5,Financial Acumen,Local,2025-12-03,True
SC00000012,SP000009,W00001570,Ready < 1 Year,Medium,Exceptional,High,1,GenAI Fluency,Regional,2025-12-06,True
SC00000013,SP000006,W00000920,Ready < 1 Year,Medium,High,Exceptional,1,Global Mobility,Global,2025-11-16,True
SC00000014,SP000009,W00000920,Ready < 1 Year,Medium,High,Exceptional,4,Financial Acumen,Global,2026-01-25,True
SC00000015,SP000004,W00003868,Ready Now,Medium,Low,High,1,Strategic Thinking,Local,2026-02-20,True
SC00000016,SP000001,W00000312,Ready Now,Medium,High,Exceptional,1,Executive Presence,Local,2025-12-19,True
SC00000017,SP000006,W00000072,Ready 1-2 Years,Medium,Medium,High,2,Executive Presence,Local,2026-03-26,True
SC00000018,SP000001,W00000091,Ready < 1 Year,High,High,Exceptional,2,Strategic Thinking,Regional,2025-12-30,True
SC00000019,SP000002,W00000330,Ready < 1 Year,Medium,Exceptional,High,5,Global Mobility,Local,2025-10-05,True
SC00000020,SP000004,W00003339,Ready < 1 Year,Medium,Exceptional,High,4,GenAI Fluency,Global,2025-11-15,True
SC00000021,SP000008,W00003339,Ready < 1 Year,Medium,Exceptional,High,3,Strategic Thinking,Local,2025-12-12,True
SC00000022,SP000002,W00003272,Ready 3+ Years,Low,High,Solid,1,People Leadership,Regional,2025-10-03,True
SC00000023,SP000006,W00004774,Ready 3+ Years,Medium,Low,High,4,Executive Presence,Global,2026-01-21,True
SC00000024,SP000001,W00003300,Ready < 1 Year,Medium,Exceptional,High,2,Executive Presence,Global,2025-12-04,True
SC00000025,SP000009,W00003300,Ready < 1 Year,Medium,Exceptional,High,1,People Leadership,Regional,2025-10-01,True
