assessment_id,worker_id,skill_id,assessment_date,assessor_type,previous_level,current_level,assessment_method
SA000000002,W00000001,SK00007,2024-08-23,Self,3,3,Project Evidence
SA000000004,W00000001,SK00007,2025-10-17,Self,3,3,Self Review
SA000000003,W00000001,SK00007,2025-10-30,System,2,3,Course Assessment
SA000000006,W00000001,SK00009,2024-09-05,Manager,2,2,Manager Review
SA000000007,W00000001,SK00009,2026-03-21,Self,1,2,Project Evidence
SA000000005,W00000001,SK00022,2024-11-18,Self,3,3,Self Review
SA000000001,W00000001,SK00035,2025-03-09,System,2,3,Course Assessment
SA000000013,W00000002,SK00021,2026-04-24,Self,3,3,Project Evidence
SA000000009,W00000002,SK00023,2026-05-10,System,3,3,Certification Exam
SA000000012,W00000002,SK00028,2025-06-10,System,4,4,Course Assessment
SA000000008,W00000002,SK00033,2025-05-13,System,1,1,Course Assessment
SA000000011,W00000002,SK00039,2025-01-31,System,4,4,Certification Exam
SA000000010,W00000002,SK00039,2025-08-29,Self,3,4,Self Review
SA000000018,W00000004,SK00021,2024-12-06,Manager,5,5,Manager Review
SA000000014,W00000004,SK00026,2026-05-10,Manager,3,3,Manager Review
SA000000016,W00000004,SK00027,2024-10-27,System,4,4,Certification Exam
SA000000017,W00000004,SK00028,2026-03-31,System,4,4,Certification Exam
SA000000015,W00000004,SK00039,2025-12-25,Self,3,3,Self Review
SA000000023,W00000005,SK00005,2026-06-12,Self,1,1,Self Review
SA000000022,W00000005,SK00008,2025-01-16,Self,2,3,Project Evidence
SA000000021,W00000005,SK00008,2025-02-26,Self,3,3,Self Review
SA000000027,W00000005,SK00009,2024-07-11,Self,3,3,Project Evidence
SA000000020,W00000005,SK00010,2026-05-23,Self,3,3,Self Review
SA000000019,W00000005,SK00010,2026-06-19,System,2,3,Certification Exam
SA000000025,W00000005,SK00022,2024-11-03,Self,2,2,Self Review
SA000000026,W00000005,SK00022,2025-02-24,Self,1,2,Project Evidence
SA000000024,W00000005,SK00022,2025-09-03,Self,1,2,Self Review
SA000000036,W00000007,SK00002,2025-03-20,Self,4,4,Self Review
SA000000035,W00000007,SK00004,2024-12-21,Self,3,3,Self Review
SA000000034,W00000007,SK00004,2025-07-11,System,3,3,Course Assessment
SA000000038,W00000007,SK00008,2026-02-01,Self,3,3,Self Review
SA000000030,W00000007,SK00018,2025-12-15,System,4,4,Course Assessment
SA000000033,W00000007,SK00019,2024-07-13,Self,3,4,Project Evidence
SA000000032,W00000007,SK00019,2025-12-07,Self,3,4,Self Review
SA000000037,W00000007,SK00022,2025-09-21,System,1,2,Certification Exam
SA000000028,W00000007,SK00024,2024-08-09,System,2,3,Certification Exam
SA000000029,W00000007,SK00024,2025-08-28,Manager,2,3,Manager Review
SA000000031,W00000007,SK00035,2024-09-27,Manager,2,2,Manager Review
SA000000040,W00000008,SK00006,2025-11-11,System,2,3,Course Assessment
SA000000041,W00000008,SK00008,2024-11-16,Self,3,3,Project Evidence
SA000000043,W00000008,SK00009,2024-11-05,Self,1,1,Project Evidence
SA000000039,W00000008,SK00010,2025-11-10,Self,2,2,Self Review
SA000000042,W00000008,SK00039,2026-06-11,System,1,1,Course Assessment
SA000000050,W00000009,SK00002,2026-04-06,Self,1,1,Project Evidence
SA000000048,W00000009,SK00004,2024-10-14,Manager,2,3,Manager Review
SA000000049,W00000009,SK00004,2025-05-31,Self,2,3,Self Review
SA000000047,W00000009,SK00018,2025-08-07,Self,3,3,Self Review
SA000000052,W00000009,SK00022,2024-12-28,Manager,3,4,Manager Review
SA000000051,W00000009,SK00022,2025-09-17,Manager,4,4,Manager Review
SA000000053,W00000009,SK00022,2026-02-11,System,4,4,Course Assessment
SA000000046,W00000009,SK00032,2024-07-30,Self,1,2,Self Review
SA000000045,W00000009,SK00032,2025-04-22,Self,2,2,Self Review
SA000000044,W00000009,SK00032,2025-05-03,Manager,2,2,Manager Review
SA000000057,W00000010,SK00018,2025-02-21,Self,5,5,Self Review
SA000000060,W00000010,SK00022,2025-08-07,Self,1,1,Self Review
SA000000059,W00000010,SK00027,2024-12-24,Manager,4,4,Manager Review
SA000000058,W00000010,SK00029,2026-01-30,Manager,4,4,Manager Review
SA000000056,W00000010,SK00030,2025-01-24,Self,5,5,Project Evidence
SA000000054,W00000010,SK00030,2025-05-06,System,5,5,Course Assessment
SA000000055,W00000010,SK00030,2025-09-24,Self,5,5,Project Evidence
SA000000066,W00000011,SK00004,2025-01-21,System,5,5,Certification Exam
SA000000067,W00000011,SK00008,2025-10-17,Manager,1,1,Manager Review
SA000000065,W00000011,SK00009,2024-10-31,System,3,3,Course Assessment
SA000000061,W00000011,SK00010,2025-05-10,Manager,3,3,Manager Review
SA000000063,W00000011,SK00014,2025-06-14,Manager,3,3,Manager Review
SA000000062,W00000011,SK00014,2025-09-28,Manager,2,3,Manager Review
SA000000064,W00000011,SK00023,2026-03-14,Manager,3,3,Manager Review
SA000000072,W00000012,SK00011,2025-11-29,Self,1,2,Project Evidence
SA000000073,W00000012,SK00011,2025-12-05,Manager,1,2,Manager Review
SA000000075,W00000012,SK00016,2025-05-10,System,3,3,Certification Exam
SA000000076,W00000012,SK00016,2025-11-02,System,2,3,Course Assessment
SA000000069,W00000012,SK00017,2025-06-27,System,4,5,Course Assessment
SA000000070,W00000012,SK00017,2026-04-07,System,5,5,Course Assessment
SA000000077,W00000012,SK00021,2025-03-17,Manager,4,5,Manager Review
SA000000078,W00000012,SK00021,2025-09-28,Manager,4,5,Manager Review
SA000000071,W00000012,SK00026,2024-10-29,Self,2,3,Project Evidence
SA000000074,W00000012,SK00027,2025-02-04,Self,4,4,Self Review
SA000000068,W00000012,SK00031,2025-04-07,Self,3,3,Self Review
SA000000088,W00000013,SK00002,2026-02-20,Manager,1,1,Manager Review
SA000000087,W00000013,SK00002,2026-04-25,System,1,1,Course Assessment
SA000000086,W00000013,SK00003,2025-05-09,System,4,4,Certification Exam
SA000000079,W00000013,SK00010,2025-01-11,Manager,2,3,Manager Review
SA000000080,W00000013,SK00018,2024-09-12,Manager,2,2,Manager Review
SA000000082,W00000013,SK00019,2024-11-19,Self,1,2,Self Review
SA000000083,W00000013,SK00021,2024-10-30,Manager,3,3,Manager Review
SA000000085,W00000013,SK00036,2024-11-21,Manager,5,5,Manager Review
SA000000084,W00000013,SK00036,2025-02-23,System,4,5,Certification Exam
SA000000081,W00000013,SK00039,2025-09-11,Manager,3,3,Manager Review
SA000000089,W00000014,SK00024,2025-08-30,Manager,3,4,Manager Review
SA000000091,W00000014,SK00026,2025-01-18,System,5,5,Certification Exam
SA000000090,W00000014,SK00026,2026-02-10,Self,4,5,Self Review
SA000000092,W00000014,SK00027,2025-06-25,Manager,4,4,Manager Review
SA000000093,W00000014,SK00028,2024-09-08,Manager,3,4,Manager Review
SA000000097,W00000015,SK00011,2025-11-06,System,4,4,Certification Exam
SA000000096,W00000015,SK00018,2025-09-20,Manager,2,2,Manager Review
SA000000094,W00000015,SK00024,2026-01-06,System,3,4,Certification Exam
SA000000098,W00000015,SK00027,2025-11-24,Self,4,5,Project Evidence
SA000000095,W00000015,SK00031,2026-02-04,Manager,1,2,Manager Review
SA000000102,W00000016,SK00008,2025-02-15,System,1,1,Certification Exam
SA000000099,W00000016,SK00010,2025-01-09,Self,2,3,Self Review
SA000000100,W00000016,SK00021,2026-02-13,Self,1,2,Self Review
SA000000101,W00000016,SK00028,2024-12-16,System,5,5,Course Assessment
SA000000109,W00000017,SK00019,2026-03-25,Self,5,5,Self Review
SA000000108,W00000017,SK00021,2024-10-26,System,2,2,Certification Exam
