supervisory_org_id,supervisory_org_name,parent_supervisory_org_id,company_id,cost_center_id,business_unit
SO000001,India Consulting Team 0001,,C016,CC002041,Consulting
SO000002,Mexico Consulting Team 0002,,C009,CC000354,Consulting
SO000003,Germany Tax Team 0003,,C014,CC001128,Tax
SO000004,Mexico Tax Team 0004,,C009,CC001894,Tax
SO000005,India Consulting Team 0005,,C030,CC000927,Consulting
SO000006,India Tax Team 0006,,C024,CC000274,Tax
SO000007,United States Consulting Team 0007,,C039,CC001395,Consulting
SO000008,India Consulting Team 0008,,C035,CC001567,Consulting
SO000009,Germany Risk Advisory Team 0009,,C003,CC000446,Risk Advisory
SO000010,Mexico Audit Team 0010,,C009,CC001121,Audit
SO000011,Australia Consulting Team 0011,,C034,CC002238,Consulting
SO000012,Mexico Consulting Team 0012,,C022,CC002289,Consulting
SO000013,United Kingdom Audit Team 0013,,C020,CC001106,Audit
SO000014,United Kingdom Consulting Team 0014,,C015,CC000278,Consulting
SO000015,South Africa Risk Advisory Team 0015,,C032,CC001478,Risk Advisory
SO000016,Australia Tax Team 0016,,C029,CC000788,Tax
SO000017,India Consulting Team 0017,,C025,CC001511,Consulting
SO000018,India Audit Team 0018,,C030,CC002107,Audit
SO000019,United States Audit Team 0019,,C039,CC001179,Audit
SO000020,Brazil Audit Team 0020,,C006,CC001076,Audit
SO000021,Germany Internal Services Team 0021,,C003,CC000841,Internal Services
SO000022,India Deals Team 0022,,C025,CC001287,Deals
SO000023,South Africa Tax Team 0023,,C032,CC000149,Tax
SO000024,Germany Consulting Team 0024,,C033,CC001625,Consulting
SO000025,India Risk Advisory Team 0025,,C030,CC000230,Risk Advisory
SO000026,India Internal Services Team 0026,,C004,CC002044,Internal Services
SO000027,Germany Audit Team 0027,,C014,CC002356,Audit
SO000028,United Kingdom Internal Services Team 0028,,C020,CC001315,Internal Services
SO000029,Brazil Tax Team 0029,,C002,CC001455,Tax
SO000030,Mexico Consulting Team 0030,,C009,CC001710,Consulting
SO000031,India Internal Services Team 0031,,C030,CC000995,Internal Services
SO000032,Japan Risk Advisory Team 0032,,C038,CC000419,Risk Advisory
SO000033,Mexico Internal Services Team 0033,,C001,CC001469,Internal Services
SO000034,Germany Consulting Team 0034,,C018,CC000656,Consulting
SO000035,Mexico Risk Advisory Team 0035,,C001,CC001218,Risk Advisory
SO000036,United Kingdom Deals Team 0036,,C020,CC000228,Deals
SO000037,Australia Consulting Team 0037,,C023,CC001889,Consulting
SO000038,India Internal Services Team 0038,,C025,CC000830,Internal Services
SO000039,Netherlands Audit Team 0039,,C031,CC001742,Audit
SO000040,Mexico Consulting Team 0040,,C001,CC002496,Consulting
SO000041,Canada Risk Advisory Team 0041,,C007,CC000265,Risk Advisory
SO000042,Brazil Audit Team 0042,,C006,CC002203,Audit
SO000043,Germany Audit Team 0043,,C011,CC002102,Audit
SO000044,India Risk Advisory Team 0044,,C021,CC001498,Risk Advisory
SO000045,Germany Internal Services Team 0045,,C003,CC002068,Internal Services
SO000046,Germany Tax Team 0046,,C003,CC002240,Tax
SO000047,United States Risk Advisory Team 0047,,C039,CC000524,Risk Advisory
SO000048,Canada Consulting Team 0048,,C007,CC001070,Consulting
SO000049,Netherlands Consulting Team 0049,,C040,CC001416,Consulting
SO000050,Germany Audit Team 0050,,C003,CC000330,Audit
