job_profile_id,job_profile_name,job_family_id,job_level,exempt_status,is_people_manager_role
JP000001,Executive - Legal,JF012,Executive,Not Applicable,True
JP000002,Analyst - Operations,JF015,Analyst,Non-Exempt,False
JP000003,Senior Consultant - Audit Assurance,JF001,Senior Consultant,Exempt,False
JP000004,Analyst - Corporate Tax,JF002,Analyst,Non-Exempt,False
JP000005,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000006,Director - Mergers and Acquisitions,JF008,Director,Exempt,True
JP000007,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000008,Senior Consultant - Technology Consulting,JF003,Senior Consultant,Exempt,False
JP000009,Senior Consultant - Operations,JF015,Senior Consultant,Exempt,False
JP000010,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000011,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
JP000012,Consultant - Marketing,JF013,Consultant,Exempt,False
JP000013,Senior Consultant - Human Resources,JF010,Senior Consultant,Exempt,False
JP000014,Consultant - Finance,JF009,Consultant,Exempt,False
JP000015,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000016,Senior Manager - Marketing,JF013,Senior Manager,Exempt,True
JP000017,Analyst - Human Capital,JF005,Analyst,Non-Exempt,False
JP000018,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000019,Senior Consultant - Data and Analytics,JF014,Senior Consultant,Exempt,False
JP000020,Director - Strategy Consulting,JF004,Director,Exempt,True
JP000021,Consultant - Human Capital,JF005,Consultant,Exempt,False
JP000022,Analyst - Strategy Consulting,JF004,Analyst,Non-Exempt,False
JP000023,Manager - Information Technology,JF011,Manager,Exempt,True
JP000024,Analyst - Human Resources,JF010,Analyst,Non-Exempt,False
JP000025,Manager - Cyber Risk,JF006,Manager,Exempt,True
JP000026,Consultant - Data and Analytics,JF014,Consultant,Exempt,False
JP000027,Manager - Regulatory Risk,JF007,Manager,Exempt,True
JP000028,Manager - Regulatory Risk,JF007,Manager,Exempt,True
JP000029,Consultant - Strategy Consulting,JF004,Consultant,Exempt,False
JP000030,Senior Consultant - Mergers and Acquisitions,JF008,Senior Consultant,Exempt,False
JP000031,Director - Mergers and Acquisitions,JF008,Director,Exempt,True
JP000032,Analyst - Regulatory Risk,JF007,Analyst,Non-Exempt,False
JP000033,Analyst - Information Technology,JF011,Analyst,Non-Exempt,False
