worker_skill_id,worker_id,skill_id,proficiency_level,source,validated_flag,last_assessed_date
WS000000001,W00000001,SK00035,3,Manager Assessment,True,2025-08-10
WS000000002,W00000001,SK00007,3,Manager Assessment,True,2026-03-04
WS000000003,W00000001,SK00022,3,Manager Assessment,True,2025-01-05
WS000000004,W00000001,SK00009,2,Certification,True,2025-10-10
WS000000005,W00000002,SK00033,1,Manager Assessment,True,2025-05-06
WS000000006,W00000002,SK00023,3,Learning Completion,True,2026-01-04
WS000000007,W00000002,SK00039,4,Self Assessment,False,2025-02-14
WS000000008,W00000002,SK00028,4,Certification,False,2025-08-25
WS000000009,W00000002,SK00021,3,Learning Completion,True,2026-01-07
WS000000010,W00000004,SK00026,3,Self Assessment,False,2025-09-06
WS000000011,W00000004,SK00039,3,Manager Assessment,False,2025-08-11
WS000000012,W00000004,SK00027,4,Certification,True,2025-08-21
WS000000013,W00000004,SK00028,4,Learning Completion,True,2025-03-07
WS000000014,W00000004,SK00021,5,Manager Assessment,False,2025-11-17
WS000000015,W00000005,SK00010,3,Certification,True,2026-03-13
WS000000016,W00000005,SK00008,3,Learning Completion,True,2025-05-20
WS000000017,W00000005,SK00005,1,Self Assessment,False,2025-02-16
WS000000018,W00000005,SK00022,2,Learning Completion,True,2026-03-07
WS000000019,W00000005,SK00009,3,Self Assessment,False,2026-04-23
WS000000020,W00000007,SK00024,3,Self Assessment,False,2025-09-25
WS000000021,W00000007,SK00018,4,Learning Completion,True,2025-04-17
WS000000022,W00000007,SK00035,2,Learning Completion,True,2025-07-21
WS000000023,W00000007,SK00019,4,Manager Assessment,True,2024-12-30
WS000000024,W00000007,SK00004,3,Self Assessment,False,2025-04-23
WS000000025,W00000007,SK00002,4,Learning Completion,True,2025-11-09
WS000000026,W00000007,SK00022,2,Manager Assessment,True,2025-03-20
WS000000027,W00000007,SK00008,3,Manager Assessment,True,2025-05-07
WS000000028,W00000008,SK00010,2,Self Assessment,False,2025-07-23
