job_requisition_id,requisition_title,job_profile_id,job_family,career_level,business_unit,company_id,location_id,country,region,cost_center_id,supervisory_org_id,hiring_manager_worker_id,recruiter_worker_id,requisition_status,approval_status,requisition_reason,employment_type,worker_type,target_openings,filled_openings,opened_date,closed_date,target_start_date,time_to_fill_days,primary_recruiting_source,priority,gen_ai_critical_requisition,confidential_requisition
JR00000001,Consultant - Human Capital,JP000021,Human Capital,Consultant,Consulting,C019,LOC000539,United States,Americas,CC000096,SO000391,W00001638,W00000243,Filled,Approved,Replacement,Regular,Employee,2,2,2021-10-14,2022-01-09,2022-01-25,87,Direct Apply,Medium,False,False
JR00000002,Director - Mergers and Acquisitions,JP000031,Mergers and Acquisitions,Director,Deals,C038,LOC000141,Japan,APAC,CC001433,SO001875,W00000348,W00000869,Draft,Draft,Replacement,Regular,Employee,2,0,2022-05-13,,2022-07-10,,Executive Search,Critical,False,False
JR00000003,Director - Legal,JP000308,Legal,Director,Internal Services,C033,LOC000186,Germany,EMEA,CC002280,SO000997,W00002503,W00000846,Filled,Approved,Growth,Regular,Employee,2,2,2025-07-04,2025-09-25,2025-09-24,83,Agency,Medium,False,False
JR00000004,Analyst - Regulatory Risk,JP000346,Regulatory Risk,Analyst,Risk Advisory,C001,LOC000577,Mexico,Americas,CC002411,SO000700,W00003381,W00002718,Open,Approved,Growth,Regular,Employee,1,0,2025-08-20,,2025-10-08,,Employee Referral,High,False,False
JR00000005,Analyst - Information Technology,JP000411,Information Technology,Analyst,Internal Services,C027,LOC000576,United States,Americas,CC000540,SO001327,W00001092,W00003584,Open,Approved,Growth,Contractor,Contractor,1,0,2024-11-08,,2024-12-22,,LinkedIn,Critical,True,False
JR00000006,Consultant - Human Resources,JP000268,Human Resources,Consultant,Internal Services,C026,LOC000358,India,APAC,CC001182,SO000388,W00000544,W00002939,Canceled,Rejected,Replacement,Contractor,Contractor,1,0,2024-10-01,2024-10-24,2025-03-07,23,Direct Apply,Low,False,False
JR00000007,Senior Manager - Legal,JP000329,Legal,Senior Manager,Internal Services,C009,LOC000409,Mexico,Americas,CC000350,SO000357,W00002433,W00000644,Canceled,Rejected,Growth,Regular,Employee,1,0,2023-02-04,2023-04-17,2023-06-28,72,Agency,High,False,False
JR00000008,Analyst - Finance,JP000332,Finance,Analyst,Internal Services,C037,LOC000127,United States,Americas,CC001209,SO002170,W00002330,W00001565,Filled,Approved,Growth,Regular,Employee,1,1,2025-12-29,2025-12-31,2025-12-31,2,Campus,Medium,False,False
JR00000009,Manager - Corporate Tax,JP000098,Corporate Tax,Manager,Tax,C006,LOC000440,Brazil,Americas,CC001637,SO001978,W00003563,W00002625,Canceled,Approved,Replacement,Intern,Intern,7,0,2024-10-02,2024-11-01,2025-01-01,30,Campus,Low,False,False
JR00000010,Analyst - Legal,JP000347,Legal,Analyst,Internal Services,C014,LOC000188,Germany,EMEA,CC000700,SO001264,W00001902,W00000484,Filled,Approved,Backfill,Regular,Employee,3,3,2024-08-02,2024-08-30,2024-12-17,28,LinkedIn,Medium,False,False
JR00000011,Consultant - Marketing,JP000244,Marketing,Consultant,Internal Services,C031,LOC000030,Netherlands,EMEA,CC001940,SO001060,W00000487,W00002790,Filled,Approved,Growth,Regular,Employee,2,2,2025-08-08,2025-12-03,2025-10-07,117,Employee Referral,High,False,False
JR00000012,Consultant - Corporate Tax,JP000201,Corporate Tax,Consultant,Tax,C016,LOC000329,India,APAC,CC002041,SO001970,W00000365,W00001752,On Hold,Approved,Replacement,Regular,Employee,1,0,2021-10-16,,2022-01-18,,Employee Referral,Critical,False,False
JR00000013,Senior Consultant - Regulatory Risk,JP000060,Regulatory Risk,Senior Consultant,Risk Advisory,C027,LOC000619,United States,Americas,CC001844,SO002083,W00003622,W00001845,Canceled,Approved,Growth,Regular,Employee,2,0,2025-04-08,2025-06-02,2025-05-24,55,Internal Mobility,Medium,False,False
JR00000014,Consultant - Technology Consulting,JP000222,Technology Consulting,Consultant,Consulting,C007,LOC000652,Canada,Americas,CC002493,SO000269,W00001460,W00001996,Filled,Approved,Backfill,Regular,Employee,1,1,2024-03-30,2024-06-14,2024-06-02,76,LinkedIn,Critical,True,False
JR00000015,Director - Corporate Tax,JP000163,Corporate Tax,Director,Tax,C015,LOC000237,United Kingdom,EMEA,CC001124,SO001232,W00002263,W00003752,Filled,Approved,Campus Hiring,Regular,Employee,18,18,2023-11-12,2024-02-05,2024-01-25,85,Direct Apply,Medium,False,False
JR00000016,Analyst - Data and Analytics,JP000473,Data and Analytics,Analyst,Consulting,C037,LOC000127,United States,Americas,CC001209,SO000886,W00002251,W00002424,Filled,Approved,Replacement,Regular,Employee,1,1,2021-02-22,2021-04-10,2021-07-30,47,Employee Referral,Critical,True,False
