location_id,location_name,company_id,country,city,region,location_type
LOC000001,Monterrey - Office,C001,Mexico,Monterrey,Americas,Office
LOC000002,Rotterdam - Office,C031,Netherlands,Rotterdam,EMEA,Office
LOC000003,San Francisco - Client Site,C012,United States,San Francisco,Americas,Client Site
LOC000004,Melbourne - Remote,C008,Australia,Melbourne,APAC,Remote
LOC000005,Mumbai - Office,C026,India,Mumbai,APAC,Office
LOC000006,Rotterdam - Office,C005,Netherlands,Rotterdam,EMEA,Office
LOC000007,Pune - Remote,C024,India,Pune,APAC,Remote
LOC000008,Chicago - Office,C039,United States,Chicago,Americas,Office
LOC000009,Sharjah - Office,C013,United Arab Emirates,Sharjah,EMEA,Office
LOC000010,Utrecht - Office,C005,Netherlands,Utrecht,EMEA,Office
LOC000011,Chennai - Client Site,C004,India,Chennai,APAC,Client Site
LOC000012,Brisbane - Remote,C029,Australia,Brisbane,APAC,Remote
LOC000013,The Hague - Office,C005,Netherlands,The Hague,EMEA,Office
LOC000014,Dallas - Client Site,C019,United States,Dallas,Americas,Client Site
LOC000015,Amsterdam - Remote,C040,Netherlands,Amsterdam,EMEA,Remote
LOC000016,Delhi - Remote,C026,India,Delhi,APAC,Remote
LOC000017,Hyderabad - Office,C004,India,Hyderabad,APAC,Office
LOC000018,Yokohama - Client Site,C038,Japan,Yokohama,APAC,Client Site
LOC000019,Canberra - Office,C017,Australia,Canberra,APAC,Office
LOC000020,Pretoria - Office,C032,South Africa,Pretoria,EMEA,Office
LOC000021,Hamburg - Client Site,C011,Germany,Hamburg,EMEA,Client Site
LOC000022,Montreal - Office,C007,Canada,Montreal,Americas,Office
LOC000023,Rotterdam - Office,C031,Netherlands,Rotterdam,EMEA,Office
LOC000024,Delhi - Office,C035,India,Delhi,APAC,Office
LOC000025,Atlanta - Office,C037,United States,Atlanta,Americas,Office
LOC000026,London - Office,C015,United Kingdom,London,EMEA,Office
LOC000027,Chennai - Office,C004,India,Chennai,APAC,Office
LOC000028,Frankfurt - Remote,C033,Germany,Frankfurt,EMEA,Remote
LOC000029,Mumbai - Office,C021,India,Mumbai,APAC,Office
LOC000030,Utrecht - Office,C031,Netherlands,Utrecht,EMEA,Office
LOC000031,Frankfurt - Office,C028,Germany,Frankfurt,EMEA,Office
LOC000032,Amsterdam - Office,C031,Netherlands,Amsterdam,EMEA,Office
LOC000033,Monterrey - Office,C022,Mexico,Monterrey,Americas,Office
LOC000034,Frankfurt - Office,C028,Germany,Frankfurt,EMEA,Office
LOC000035,Brasilia - Shared Service Center,C002,Brazil,Brasilia,Americas,Shared Service Center
LOC000036,Mumbai - Office,C016,India,Mumbai,APAC,Office
LOC000037,Amsterdam - Shared Service Center,C040,Netherlands,Amsterdam,EMEA,Shared Service Center
LOC000038,Rio de Janeiro - Shared Service Center,C002,Brazil,Rio de Janeiro,Americas,Shared Service Center
LOC000039,Canberra - Remote,C034,Australia,Canberra,APAC,Remote
LOC000040,Delhi - Shared Service Center,C021,India,Delhi,APAC,Shared Service Center
LOC000041,Munich - Office,C028,Germany,Munich,EMEA,Office
LOC000042,Perth - Office,C008,Australia,Perth,APAC,Office
LOC000043,Perth - Office,C017,Australia,Perth,APAC,Office
LOC000044,Utrecht - Office,C040,Netherlands,Utrecht,EMEA,Office
LOC000045,London - Client Site,C020,United Kingdom,London,EMEA,Client Site
LOC000046,The Hague - Remote,C031,Netherlands,The Hague,EMEA,Remote
LOC000047,Melbourne - Office,C017,Australia,Melbourne,APAC,Office
LOC000048,Hyderabad - Shared Service Center,C024,India,Hyderabad,APAC,Shared Service Center
LOC000049,Guadalajara - Office,C009,Mexico,Guadalajara,Americas,Office
LOC000050,Chennai - Office,C026,India,Chennai,APAC,Office
LOC000051,Munich - Office,C011,Germany,Munich,EMEA,Office
LOC000052,Perth - Client Site,C034,Australia,Perth,APAC,Client Site
LOC000053,Utrecht - Remote,C040,Netherlands,Utrecht,EMEA,Remote
LOC000054,Berlin - Client Site,C018,Germany,Berlin,EMEA,Client Site
LOC000055,Queretaro - Office,C001,Mexico,Queretaro,Americas,Office
LOC000056,Seattle - Office,C019,United States,Seattle,Americas,Office
LOC000057,Berlin - Office,C028,Germany,Berlin,EMEA,Office
LOC000058,Utrecht - Office,C031,Netherlands,Utrecht,EMEA,Office
LOC000059,Delhi - Remote,C016,India,Delhi,APAC,Remote
LOC000060,Hamburg - Office,C018,Germany,Hamburg,EMEA,Office
LOC000061,Seattle - Shared Service Center,C027,United States,Seattle,Americas,Shared Service Center
LOC000062,Toronto - Remote,C007,Canada,Toronto,Americas,Remote
LOC000063,Curitiba - Office,C006,Brazil,Curitiba,Americas,Office
LOC000064,Chicago - Office,C027,United States,Chicago,Americas,Office
LOC000065,Berlin - Office,C003,Germany,Berlin,EMEA,Office
LOC000066,Brasilia - Office,C002,Brazil,Brasilia,Americas,Office
LOC000067,Monterrey - Office,C009,Mexico,Monterrey,Americas,Office
LOC000068,Canberra - Office,C008,Australia,Canberra,APAC,Office
LOC000069,Hyderabad - Office,C016,India,Hyderabad,APAC,Office
LOC000070,Durban - Office,C032,South Africa,Durban,EMEA,Office
LOC000071,Canberra - Remote,C017,Australia,Canberra,APAC,Remote
LOC000072,Utrecht - Office,C031,Netherlands,Utrecht,EMEA,Office
LOC000073,Guadalajara - Office,C009,Mexico,Guadalajara,Americas,Office
LOC000074,Monterrey - Office,C001,Mexico,Monterrey,Americas,Office
LOC000075,Hamburg - Office,C014,Germany,Hamburg,EMEA,Office
LOC000076,Munich - Office,C018,Germany,Munich,EMEA,Office
LOC000077,Calgary - Remote,C007,Canada,Calgary,Americas,Remote
LOC000078,Edinburgh - Office,C020,United Kingdom,Edinburgh,EMEA,Office
LOC000079,Mumbai - Remote,C025,India,Mumbai,APAC,Remote
LOC000080,Queretaro - Office,C022,Mexico,Queretaro,Americas,Office
LOC000081,Munich - Office,C011,Germany,Munich,EMEA,Office
LOC000082,Atlanta - Office,C036,United States,Atlanta,Americas,Office
LOC000083,Chennai - Office,C004,India,Chennai,APAC,Office
LOC000084,Brisbane - Client Site,C029,Australia,Brisbane,APAC,Client Site
LOC000085,Manchester - Office,C020,United Kingdom,Manchester,EMEA,Office
LOC000086,Perth - Office,C029,Australia,Perth,APAC,Office
LOC000087,Pune - Office,C024,India,Pune,APAC,Office
LOC000088,Sao Paulo - Office,C006,Brazil,Sao Paulo,Americas,Office
LOC000089,Brasilia - Remote,C006,Brazil,Brasilia,Americas,Remote
LOC000090,Amsterdam - Office,C005,Netherlands,Amsterdam,EMEA,Office
LOC000091,Abu Dhabi - Office,C013,United Arab Emirates,Abu Dhabi,EMEA,Office
LOC000092,Canberra - Office,C034,Australia,Canberra,APAC,Office
LOC000093,Sydney - Office,C034,Australia,Sydney,APAC,Office
LOC000094,Mumbai - Office,C030,India,Mumbai,APAC,Office
LOC000095,Edinburgh - Office,C015,United Kingdom,Edinburgh,EMEA,Office
LOC000096,Durban - Client Site,C032,South Africa,Durban,EMEA,Client Site
LOC000097,Utrecht - Office,C031,Netherlands,Utrecht,EMEA,Office
LOC000098,Mumbai - Shared Service Center,C030,India,Mumbai,APAC,Shared Service Center
LOC000099,Johannesburg - Office,C032,South Africa,Johannesburg,EMEA,Office
LOC000100,Curitiba - Office,C006,Brazil,Curitiba,Americas,Office
LOC000101,Bengaluru - Remote,C030,India,Bengaluru,APAC,Remote
LOC000102,Bengaluru - Office,C016,India,Bengaluru,APAC,Office
LOC000103,Boston - Remote,C019,United States,Boston,Americas,Remote
LOC000104,London - Office,C020,United Kingdom,London,EMEA,Office
LOC000105,Chennai - Office,C004,India,Chennai,APAC,Office
LOC000106,Yokohama - Office,C038,Japan,Yokohama,APAC,Office
LOC000107,Hyderabad - Client Site,C030,India,Hyderabad,APAC,Client Site
LOC000108,Pune - Shared Service Center,C035,India,Pune,APAC,Shared Service Center
LOC000109,Canberra - Office,C008,Australia,Canberra,APAC,Office
LOC000110,Atlanta - Office,C012,United States,Atlanta,Americas,Office
LOC000111,Munich - Office,C003,Germany,Munich,EMEA,Office
LOC000112,Amsterdam - Office,C005,Netherlands,Amsterdam,EMEA,Office
LOC000113,Mumbai - Office,C021,India,Mumbai,APAC,Office
LOC000114,Pune - Office,C025,India,Pune,APAC,Office
LOC000115,Atlanta - Client Site,C036,United States,Atlanta,Americas,Client Site
LOC000116,Pune - Office,C024,India,Pune,APAC,Office
LOC000117,Rotterdam - Office,C040,Netherlands,Rotterdam,EMEA,Office
LOC000118,Cape Town - Office,C032,South Africa,Cape Town,EMEA,Office
LOC000119,Dubai - Shared Service Center,C013,United Arab Emirates,Dubai,EMEA,Shared Service Center
LOC000120,Monterrey - Office,C022,Mexico,Monterrey,Americas,Office
