learning_course_id,course_code,course_title,course_category,development_focus_area,proficiency_level,delivery_method,provider,duration_hours,is_mandatory,certification_eligible,gen_ai_related,course_status,course_description
LC000001,LC-LEADERSHIP-0001,Leading High Performing Teams,Leadership,Leadership,Intermediate,Online Self-Paced,Technology Vendor,8,False,False,False,Active,Leading High Performing Teams supports development in Leadership at a intermediate proficiency level.
LC000002,LC-LEADERSHIP-0002,Situational Leadership for Managers,Leadership,Leadership,Intermediate,Online Self-Paced,Internal Learning,6,False,False,False,Active,Situational Leadership for Managers supports development in Leadership at a intermediate proficiency level.
LC000003,LC-LEADERSHIP-0003,Inclusive Leadership Essentials,Leadership,Leadership,Foundational,Online Self-Paced,University Partner,4,False,False,False,Active,Inclusive Leadership Essentials supports development in Leadership at a foundational proficiency level.
LC000004,LC-PEOPLEMANAGEMENT-0004,Coaching and Feedback Conversations,People Management,People Management,Foundational,Online Self-Paced,External Provider,4,False,False,False,Active,Coaching and Feedback Conversations supports development in People Management at a foundational proficiency level.
LC000005,LC-PEOPLEMANAGEMENT-0005,Managing Performance and Development,People Management,People Management,Intermediate,Online Self-Paced,External Provider,6,False,False,False,Active,Managing Performance and Development supports development in People Management at a intermediate proficiency level.
LC000006,LC-LEADERSHIP-0006,Executive Presence and Storytelling,Leadership,Executive Presence,Advanced,Virtual Instructor-Led,Internal Learning,6,False,False,False,Active,Executive Presence and Storytelling supports development in Executive Presence at a advanced proficiency level.
LC000007,LC-STRATEGY-0007,Strategic Thinking for Client Leaders,Strategy,Strategic Thinking,Advanced,Virtual Instructor-Led,Internal Learning,8,False,False,False,Active,Strategic Thinking for Client Leaders supports development in Strategic Thinking at a advanced proficiency level.
LC000008,LC-CLIENTDELIVERY-0008,Trusted Advisor Foundations,Client Delivery,Client Relationship Management,Intermediate,Online Self-Paced,Internal Learning,6,False,False,False,Active,Trusted Advisor Foundations supports development in Client Relationship Management at a intermediate proficiency level.
LC000009,LC-CLIENTDELIVERY-0009,Advanced Client Relationship Management,Client Delivery,Client Relationship Management,Advanced,Online Self-Paced,University Partner,8,False,False,False,Active,Advanced Client Relationship Management supports development in Client Relationship Management at a advanced proficiency level.
LC000010,LC-INDUSTRY-0010,Industry Trends and Market Forces,Industry,Industry Expertise,Intermediate,Blended,Professional Association,5,False,False,False,Active,Industry Trends and Market Forces supports development in Industry Expertise at a intermediate proficiency level.
