benefit_enrollment_id,worker_id,benefit_plan_id,benefit_type,country,region,coverage_level,enrollment_status,effective_date,end_date,employee_contribution_pct,employer_contribution_pct
BE000000001,W00000001,BP000097,Medical,United States,Americas,Individual,Waived,2024-09-25,,0.15,0.85
BE000000002,W00000001,BP000101,Disability,United States,Americas,Employee,Enrolled,2023-03-19,,0.1,0.9
BE000000003,W00000001,BP000099,Vision,United States,Americas,Individual,Enrolled,2024-11-16,,0.2,0.8
BE000000004,W00000001,BP000104,Employee Assistance Program,United States,Americas,Employee,Enrolled,2025-12-07,,0.0,1.0
BE000000005,W00000001,BP000098,Dental,United States,Americas,Individual,Enrolled,2023-12-18,,0.2,0.8
BE000000006,W00000002,BP000038,Retirement,India,APAC,Employee,Enrolled,2022-07-21,,0.05,0.95
BE000000007,W00000002,BP000033,Medical,India,APAC,Individual,Waived,2023-07-30,,0.15,0.85
BE000000008,W00000002,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2024-08-11,,0.0,1.0
BE000000009,W00000002,BP000035,Vision,India,APAC,Individual,Terminated,2021-03-02,2022-07-12,0.2,0.8
BE000000010,W00000005,BP000049,Medical,Mexico,Americas,Individual,Enrolled,2025-05-30,,0.15,0.85
BE000000011,W00000005,BP000053,Disability,Mexico,Americas,Employee,Enrolled,2025-09-28,,0.1,0.9
BE000000012,W00000005,BP000056,Employee Assistance Program,Mexico,Americas,Employee,Terminated,2021-08-18,2021-12-28,0.0,1.0
BE000000013,W00000005,BP000052,Life Insurance,Mexico,Americas,Employee,Enrolled,2021-04-20,,0.0,1.0
BE000000014,W00000007,BP000026,Dental,Germany,EMEA,Individual,Enrolled,2022-11-01,,0.2,0.8
BE000000015,W00000007,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2023-09-09,,0.1,0.9
BE000000016,W00000007,BP000030,Retirement,Germany,EMEA,Employee,Enrolled,2025-11-07,,0.05,0.95
BE000000017,W00000007,BP000025,Medical,Germany,EMEA,Individual,Enrolled,2023-10-07,,0.15,0.85
BE000000018,W00000007,BP000027,Vision,Germany,EMEA,Individual,Enrolled,2023-12-30,,0.2,0.8
BE000000019,W00000008,BP000001,Medical,Australia,APAC,Individual,Enrolled,2024-01-29,,0.15,0.85
BE000000020,W00000008,BP000002,Dental,Australia,APAC,Individual,Enrolled,2024-05-03,,0.2,0.8
BE000000021,W00000008,BP000003,Vision,Australia,APAC,Individual,Enrolled,2021-01-17,,0.2,0.8
BE000000022,W00000008,BP000007,Wellness Program,Australia,APAC,Employee,Enrolled,2022-11-22,,0.0,1.0
BE000000023,W00000008,BP000008,Employee Assistance Program,Australia,APAC,Employee,Waived,2023-10-04,,0.0,1.0
BE000000024,W00000008,BP000004,Life Insurance,Australia,APAC,Employee,Enrolled,2023-04-15,,0.0,1.0
BE000000025,W00000009,BP000075,Vision,Spain,EMEA,Individual,Enrolled,2025-08-20,,0.2,0.8
BE000000026,W00000009,BP000079,Wellness Program,Spain,EMEA,Employee,Enrolled,2023-07-27,,0.0,1.0
BE000000027,W00000009,BP000080,Employee Assistance Program,Spain,EMEA,Employee,Waived,2025-05-29,,0.0,1.0
BE000000028,W00000009,BP000077,Disability,Spain,EMEA,Employee,Waived,2025-07-06,,0.1,0.9
BE000000029,W00000009,BP000074,Dental,Spain,EMEA,Individual,Enrolled,2023-04-02,,0.2,0.8
BE000000030,W00000009,BP000078,Retirement,Spain,EMEA,Employee,Enrolled,2024-01-05,,0.05,0.95
BE000000031,W00000010,BP000025,Medical,Germany,EMEA,Individual,Enrolled,2025-01-11,,0.15,0.85
BE000000032,W00000010,BP000027,Vision,Germany,EMEA,Individual,Enrolled,2024-11-08,,0.2,0.8
BE000000033,W00000010,BP000028,Life Insurance,Germany,EMEA,Employee,Enrolled,2025-01-22,,0.0,1.0
BE000000034,W00000010,BP000029,Disability,Germany,EMEA,Employee,Enrolled,2025-06-20,,0.1,0.9
BE000000035,W00000010,BP000026,Dental,Germany,EMEA,Individual,Enrolled,2024-02-28,,0.2,0.8
BE000000036,W00000011,BP000097,Medical,United States,Americas,Individual,Enrolled,2025-07-04,,0.15,0.85
BE000000037,W00000011,BP000104,Employee Assistance Program,United States,Americas,Employee,Waived,2021-09-10,,0.0,1.0
BE000000038,W00000011,BP000101,Disability,United States,Americas,Employee,Enrolled,2024-10-16,,0.1,0.9
BE000000039,W00000011,BP000102,Retirement,United States,Americas,Employee,Enrolled,2024-10-01,,0.05,0.95
BE000000040,W00000011,BP000099,Vision,United States,Americas,Individual,Enrolled,2021-07-20,,0.2,0.8
BE000000041,W00000013,BP000038,Retirement,India,APAC,Employee,Enrolled,2023-02-25,,0.05,0.95
BE000000042,W00000013,BP000037,Disability,India,APAC,Employee,Enrolled,2024-10-27,,0.1,0.9
BE000000043,W00000013,BP000039,Wellness Program,India,APAC,Employee,Waived,2022-10-20,,0.0,1.0
BE000000044,W00000013,BP000040,Employee Assistance Program,India,APAC,Employee,Enrolled,2024-01-30,,0.0,1.0
BE000000045,W00000014,BP000097,Medical,United States,Americas,Individual,Enrolled,2025-03-22,,0.15,0.85
BE000000046,W00000014,BP000104,Employee Assistance Program,United States,Americas,Employee,Enrolled,2025-08-25,,0.0,1.0
