talent_review_id,worker_id,performance_review_id,review_year,performance_category,potential_category,nine_box_position,promotion_readiness,succession_candidate,ready_now_successor,critical_role,retention_risk,flight_risk,promotion_count_to_date,promotion_velocity,recent_manager_changes,compa_ratio,gen_ai_impact_level,gen_ai_role_category,gen_ai_premium_applied,completed_learning_count,gen_ai_learning_count,certifications_earned,learning_hours_completed,completed_pdp_count,active_pdp_count,ai_focused_pdp_count
TR00000001,W00000001,PR00000001,2025,Solid,High,Emerging Talent,Ready in 2 Years,False,False,False,Low,Low,0,None,2,1.05,Low,AI User,False,4,1,0,12.69,0,0,0
TR00000002,W00000002,PR00000002,2021,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,0,None,0,1.059,Medium,AI-Augmented Professional,True,0,0,0,0.0,0,1,0
TR00000003,W00000002,PR00000003,2022,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Low,1,Moderate,0,1.059,Medium,AI-Augmented Professional,True,1,0,0,5.4,0,1,0
TR00000004,W00000002,PR00000004,2023,High,Exceptional,Top Talent,Ready in 2 Years,True,False,True,Medium,Medium,2,Fast,1,1.059,Medium,AI-Augmented Professional,True,1,0,0,5.4,0,1,0
TR00000005,W00000002,PR00000005,2024,High,Medium,High Professional,Ready in 2 Years,False,False,False,Low,Low,4,Fast,2,1.059,Medium,AI-Augmented Professional,True,3,0,0,12.28,0,1,0
TR00000006,W00000002,PR00000006,2025,Solid,Medium,Core Contributor,Ready Now,False,False,False,Low,Low,4,Fast,1,1.059,Medium,AI-Augmented Professional,True,3,0,0,12.28,0,2,0
TR00000007,W00000003,PR00000007,2021,Solid,Exceptional,Emerging Talent,Ready Now,True,True,True,Medium,Realized Attrition,0,None,0,0.898,High,AI Governance,False,2,1,1,23.45,1,0,0
TR00000008,W00000003,PR00000008,2022,Exceptional,Medium,High Professional,Ready in 3+ Years,False,False,True,Medium,Realized Attrition,0,None,0,0.898,High,AI Governance,False,4,1,1,30.77,1,0,1
TR00000009,W00000003,PR00000009,2023,Exceptional,Medium,High Professional,Ready in 3+ Years,False,False,True,Medium,Realized Attrition,1,Moderate,0,0.898,High,AI Governance,False,5,1,1,35.42,1,0,1
TR00000010,W00000004,PR00000010,2021,High,High,Top Talent,Ready in 2 Years,True,False,True,Medium,High,0,None,0,0.895,Medium,AI-Augmented Professional,False,1,1,1,9.7,0,0,0
TR00000011,W00000004,PR00000011,2022,High,High,Top Talent,Ready in 1 Year,True,False,True,Medium,High,1,Moderate,0,0.895,Medium,AI-Augmented Professional,False,1,1,1,9.7,1,0,0
TR00000012,W00000004,PR00000012,2023,High,Medium,High Professional,Ready in 2 Years,False,False,False,Medium,Medium,1,Moderate,0,0.895,Medium,AI-Augmented Professional,False,2,1,1,12.46,2,0,0
TR00000013,W00000004,PR00000013,2024,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,False,Low,Low,1,Moderate,0,0.895,Medium,AI-Augmented Professional,False,5,2,1,28.17,3,0,0
TR00000014,W00000004,PR00000014,2025,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,False,Low,Low,1,Slow,0,0.895,Medium,AI-Augmented Professional,False,7,2,1,37.92,3,0,0
TR00000015,W00000005,PR00000015,2025,Exceptional,Low,Expert Contributor,Ready in 1 Year,False,False,False,Medium,Medium,1,Fast,0,0.823,Medium,AI-Augmented Professional,False,3,2,1,22.49,0,0,0
TR00000016,W00000006,PR00000016,2021,Low,Medium,Performance Risk,Ready in 3+ Years,False,False,False,Low,Realized Attrition,0,None,0,1.122,Medium,AI-Augmented Professional,False,2,1,0,8.64,0,1,0
TR00000017,W00000006,PR00000017,2022,High,Medium,High Professional,Ready Now,True,True,False,Low,Realized Attrition,0,None,0,1.122,Medium,AI-Augmented Professional,False,2,1,0,8.64,0,1,0
TR00000018,W00000007,PR00000019,2021,Solid,High,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,0,None,0,0.975,High,AI Product / Transformation,False,0,0,0,0.0,1,0,0
TR00000019,W00000007,PR00000020,2022,High,Low,Expert Contributor,Ready in 2 Years,False,False,True,Medium,Medium,0,None,0,0.975,High,AI Product / Transformation,False,4,3,1,34.58,1,0,0
TR00000020,W00000007,PR00000021,2023,Exceptional,Exceptional,Top Talent,Ready in 1 Year,True,False,True,High,High,1,Slow,0,0.975,High,AI Product / Transformation,False,5,3,1,39.18,1,1,0
TR00000021,W00000007,PR00000022,2024,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,True,Low,Low,1,Slow,0,0.975,High,AI Product / Transformation,False,7,3,2,61.2,1,2,0
TR00000022,W00000007,PR00000023,2025,Solid,High,Emerging Talent,Ready in 2 Years,False,False,True,Medium,High,1,Slow,0,0.975,High,AI Product / Transformation,False,9,5,2,70.32,1,2,0
TR00000023,W00000008,PR00000024,2021,Low,Exceptional,Inconsistent Potential,Ready in 3+ Years,False,False,True,Medium,Medium,0,None,0,0.975,High,AI Builder,False,1,0,0,1.84,0,0,0
TR00000024,W00000008,PR00000025,2022,Solid,Medium,Core Contributor,Ready in 1 Year,False,False,True,Low,Low,0,None,0,0.975,High,AI Builder,False,2,1,0,5.6,0,1,0
TR00000025,W00000008,PR00000026,2023,Exceptional,Exceptional,Top Talent,Ready Now,True,True,True,High,High,0,None,1,0.975,High,AI Builder,False,4,2,0,21.8,0,2,0
TR00000026,W00000008,PR00000028,2025,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,True,Low,Low,1,Moderate,0,0.975,High,AI Builder,False,6,2,0,28.55,1,2,1
TR00000027,W00000009,PR00000029,2021,Solid,Medium,Core Contributor,Ready in 3+ Years,False,False,True,Medium,High,0,None,0,0.85,High,AI Builder,False,0,0,0,0.0,0,1,1
TR00000028,W00000009,PR00000030,2022,Exceptional,High,Top Talent,Ready Now,True,True,True,High,High,0,None,0,0.85,High,AI Builder,False,2,1,1,14.64,0,1,1
TR00000029,W00000009,PR00000031,2023,Solid,Medium,Core Contributor,Ready Now,False,False,True,Medium,High,0,None,0,0.85,High,AI Builder,False,3,1,1,17.46,0,2,1
TR00000030,W00000009,PR00000032,2024,Solid,Medium,Core Contributor,Ready in 2 Years,False,False,True,Medium,High,0,None,0,0.85,High,AI Builder,False,4,1,1,20.31,0,2,1
TR00000031,W00000009,PR00000033,2025,Low,Medium,Performance Risk,Ready in 2 Years,False,False,True,Medium,High,0,None,0,0.85,High,AI Builder,False,4,1,1,20.31,0,3,1
TR00000032,W00000010,PR00000035,2022,Exceptional,Exceptional,Top Talent,Ready in 1 Year,True,False,True,Medium,Medium,1,Moderate,1,1.162,Medium,AI-Augmented Professional,False,1,0,0,5.7,0,1,0
TR00000033,W00000010,PR00000036,2023,Solid,High,Emerging Talent,Ready in 1 Year,True,False,False,Low,Low,1,Moderate,1,1.162,Medium,AI-Augmented Professional,False,1,0,0,5.7,0,2,0
TR00000034,W00000010,PR00000037,2024,Solid,Medium,Core Contributor,Ready Now,False,False,False,Low,Low,1,Moderate,0,1.162,Medium,AI-Augmented Professional,False,1,0,0,5.7,0,3,0
