absence_request_id,worker_id,absence_plan_id,absence_type,request_date,absence_start_date,absence_end_date,duration_days,approval_status,is_paid_leave
AR000000001,W00001620,AP00041,Vacation,2022-07-11,2022-08-06,2022-08-16,11,Denied,True
AR000000002,W00004739,AP00001,Vacation,2020-12-11,2021-01-24,2021-01-30,7,Approved,True
AR000000003,W00004550,AP00049,Parental Leave,2025-10-21,2025-12-07,2026-03-09,93,Approved,True
AR000000004,W00001606,AP00048,Personal Leave,2022-07-26,2022-08-09,2022-08-10,2,Approved,True
AR000000005,W00004101,AP00035,Bereavement Leave,2023-06-06,2023-07-30,2023-07-31,2,Approved,True
AR000000006,W00003014,AP00027,Sick Leave,2021-01-10,2021-03-02,2021-03-03,2,Approved,True
AR000000007,W00004905,AP00064,Parental Leave,2022-11-26,2022-12-08,2023-02-06,61,Denied,True
AR000000008,W00002245,AP00050,Bereavement Leave,2021-03-07,2021-03-27,2021-03-27,1,Approved,True
AR000000009,W00000501,AP00019,Parental Leave,2022-09-22,2022-11-01,2022-12-10,40,Approved,True
AR000000010,W00002982,AP00006,Vacation,2025-01-13,2025-02-14,2025-02-27,14,Approved,True
AR000000011,W00000837,AP00016,Vacation,2022-02-09,2022-02-22,2022-03-08,15,Approved,True
AR000000012,W00004165,AP00061,Vacation,2023-07-13,2023-08-21,2023-08-29,9,Approved,True
AR000000013,W00002442,AP00017,Sick Leave,2021-05-09,2021-05-31,2021-05-31,1,Approved,True
AR000000014,W00003341,AP00012,Sick Leave,2024-05-09,2024-06-28,2024-06-28,1,Approved,True
AR000000015,W00002343,AP00017,Sick Leave,2023-04-10,2023-04-15,2023-04-15,1,Approved,True
AR000000016,W00003802,AP00036,Vacation,2025-10-17,2025-12-07,2025-12-14,8,Approved,True
AR000000017,W00002742,AP00006,Vacation,2025-10-01,2025-11-30,2025-12-03,4,Denied,True
AR000000018,W00000821,AP00020,Bereavement Leave,2023-03-29,2023-05-03,2023-05-06,4,Approved,True
AR000000019,W00000946,AP00009,Parental Leave,2023-09-15,2023-09-26,2023-12-11,77,Approved,True
AR000000020,W00001360,AP00064,Parental Leave,2024-10-11,2024-11-08,2024-12-14,37,Approved,True
AR000000021,W00000721,AP00005,Bereavement Leave,2023-02-07,2023-03-05,2023-03-09,5,Approved,True
AR000000022,W00000078,AP00035,Bereavement Leave,2025-07-24,2025-08-14,2025-08-16,3,Approved,True
AR000000023,W00001918,AP00013,Personal Leave,2021-07-29,2021-09-10,2021-09-11,2,Approved,True
AR000000024,W00002801,AP00042,Sick Leave,2021-09-12,2021-10-28,2021-10-31,4,Approved,True
AR000000025,W00003653,AP00034,Parental Leave,2021-09-12,2021-11-09,2022-01-26,79,Approved,True
AR000000026,W00001292,AP00034,Parental Leave,2024-09-04,2024-10-27,2024-12-11,46,Approved,True
AR000000027,W00002022,AP00001,Vacation,2021-03-03,2021-04-15,2021-04-23,9,Approved,True
AR000000028,W00004805,AP00005,Bereavement Leave,2021-10-27,2021-11-30,2021-12-02,3,Cancelled,True
AR000000029,W00004795,AP00063,Personal Leave,2023-06-26,2023-07-02,2023-07-04,3,Pending,True
AR000000030,W00001899,AP00050,Bereavement Leave,2020-11-30,2021-01-26,2021-01-29,4,Approved,True
AR000000031,W00000385,AP00058,Personal Leave,2024-02-13,2024-03-25,2024-03-27,3,Approved,True
AR000000032,W00002862,AP00019,Parental Leave,2024-02-25,2024-04-09,2024-05-15,37,Approved,True
AR000000033,W00003366,AP00005,Bereavement Leave,2024-08-04,2024-09-06,2024-09-07,2,Approved,True
